charge_id,project_id,wbs_id,cost_code_id,week_ending,reg_hours,ot_hours,amount,origin_system
LC-00000117,PRJ-001,WBS-00013,CC-00008,2026-06-12,8.0,0.0,709.68,OnPrem-SQLServer
LC-00000118,PRJ-001,WBS-00014,CC-00001,2026-06-19,8.0,0.0,262.32,OnPrem-SQLServer
LC-00000119,PRJ-001,WBS-00014,CC-00002,2026-06-26,8.0,0.0,262.32,OnPrem-SQLServer
LC-00000120,PRJ-001,WBS-00014,CC-00004,2026-06-12,8.0,0.0,262.32,OnPrem-SQLServer
LC-00000121,PRJ-001,WBS-00014,CC-00006,2026-07-10,8.0,2.66,393.15,OnPrem-SQLServer
LC-00000122,PRJ-001,WBS-00014,CC-00007,2026-05-15,8.0,2.05,649.66,OnPrem-SQLServer
LC-00000123,PRJ-001,WBS-00014,CC-00007,2026-07-03,8.0,1.96,918.63,OnPrem-SQLServer
LC-00000124,PRJ-001,WBS-00014,CC-00007,2026-07-10,8.0,2.87,687.97,OnPrem-SQLServer
LC-00000125,PRJ-001,WBS-00014,CC-00008,2026-04-24,8.0,3.44,431.52,OnPrem-SQLServer
LC-00000126,PRJ-001,WBS-00014,CC-00008,2026-06-26,8.0,2.75,424.25,OnPrem-SQLServer
LC-00000127,PRJ-001,WBS-00014,CC-00009,2026-05-15,0.0,6.5,724.52,OnPrem-SQLServer
LC-00000128,PRJ-001,WBS-00015,CC-00001,2026-07-03,8.0,0.0,279.92,OnPrem-SQLServer
LC-00000129,PRJ-001,WBS-00015,CC-00002,2026-07-31,8.0,2.94,667.91,OnPrem-SQLServer
LC-00000130,PRJ-001,WBS-00015,CC-00003,2026-07-24,8.0,0.0,430.56,OnPrem-SQLServer
LC-00000131,PRJ-001,WBS-00015,CC-00004,2026-07-03,8.0,3.82,805.4,OnPrem-SQLServer
LC-00000132,PRJ-001,WBS-00015,CC-00006,2026-06-05,0.0,9.2,962.27,OnPrem-SQLServer
LC-00000133,PRJ-001,WBS-00015,CC-00006,2026-06-26,8.0,3.25,640.66,OnPrem-SQLServer
LC-00000134,PRJ-001,WBS-00015,CC-00007,2026-05-22,8.0,0.0,262.32,OnPrem-SQLServer
LC-00000135,PRJ-001,WBS-00015,CC-00007,2026-06-19,16.0,0.0,942.08,OnPrem-SQLServer
LC-00000136,PRJ-001,WBS-00015,CC-00009,2026-07-10,0.0,6.6,831.3,OnPrem-SQLServer
LC-00000137,PRJ-001,WBS-00015,CC-00009,2026-07-24,8.0,3.46,773.73,OnPrem-SQLServer
LC-00000138,PRJ-001,WBS-00016,CC-00002,2026-06-19,8.0,3.57,437.91,OnPrem-SQLServer
LC-00000139,PRJ-001,WBS-00016,CC-00003,2026-04-24,8.0,1.01,312.0,OnPrem-SQLServer
LC-00000140,PRJ-001,WBS-00016,CC-00003,2026-07-17,8.0,0.0,262.32,OnPrem-SQLServer
LC-00000141,PRJ-001,WBS-00016,CC-00003,2026-07-24,8.0,0.0,671.76,OnPrem-SQLServer
LC-00000142,PRJ-001,WBS-00016,CC-00003,2026-07-31,8.0,0.0,709.68,OnPrem-SQLServer
LC-00000143,PRJ-001,WBS-00016,CC-00005,2026-07-17,0.0,8.14,427.23,OnPrem-SQLServer
LC-00000144,PRJ-001,WBS-00016,CC-00006,2026-07-31,8.0,0.0,447.28,OnPrem-SQLServer
LC-00000145,PRJ-001,WBS-00016,CC-00007,2026-07-03,8.0,0.0,544.16,OnPrem-SQLServer
LC-00000146,PRJ-001,WBS-00016,CC-00007,2026-07-10,8.0,3.15,746.45,OnPrem-SQLServer
LC-00000147,PRJ-001,WBS-00016,CC-00009,2026-05-22,8.0,0.0,544.16,OnPrem-SQLServer
LC-00000148,PRJ-001,WBS-00016,CC-00009,2026-06-05,8.0,0.0,671.76,OnPrem-SQLServer
LC-00000149,PRJ-001,WBS-00016,CC-00009,2026-06-26,8.0,0.0,612.8,OnPrem-SQLServer
LC-00000150,PRJ-001,WBS-00016,CC-00009,2026-07-17,8.0,0.83,628.84,OnPrem-SQLServer
LC-00000151,PRJ-001,WBS-00017,CC-00001,2026-05-08,8.0,0.0,262.32,OnPrem-SQLServer
LC-00000152,PRJ-001,WBS-00017,CC-00001,2026-06-26,8.0,1.67,616.22,OnPrem-SQLServer
LC-00000153,PRJ-001,WBS-00017,CC-00003,2026-06-12,8.0,0.0,477.44,OnPrem-SQLServer
LC-00000154,PRJ-001,WBS-00017,CC-00003,2026-07-24,8.0,0.0,671.76,OnPrem-SQLServer
LC-00000155,PRJ-001,WBS-00017,CC-00004,2026-05-08,8.0,1.19,727.12,OnPrem-SQLServer
LC-00000156,PRJ-001,WBS-00017,CC-00004,2026-06-12,8.0,1.31,584.55,OnPrem-SQLServer
LC-00000157,PRJ-001,WBS-00017,CC-00005,2026-07-10,8.0,0.0,282.64,OnPrem-SQLServer
LC-00000158,PRJ-001,WBS-00017,CC-00005,2026-07-31,8.0,2.46,629.16,OnPrem-SQLServer
LC-00000159,PRJ-001,WBS-00017,CC-00007,2026-05-01,8.0,2.28,374.46,OnPrem-SQLServer
LC-00000160,PRJ-001,WBS-00017,CC-00007,2026-05-15,8.0,1.67,344.46,OnPrem-SQLServer
LC-00000161,PRJ-001,WBS-00017,CC-00007,2026-07-03,8.0,0.0,262.32,OnPrem-SQLServer
LC-00000162,PRJ-001,WBS-00017,CC-00008,2026-06-12,8.0,2.44,979.09,OnPrem-SQLServer
LC-00000163,PRJ-001,WBS-00017,CC-00008,2026-06-19,8.0,1.61,364.42,OnPrem-SQLServer
LC-00000164,PRJ-001,WBS-00017,CC-00008,2026-07-17,16.0,3.54,1443.05,OnPrem-SQLServer
LC-00000165,PRJ-001,WBS-00017,CC-00008,2026-07-24,8.0,0.0,279.92,OnPrem-SQLServer
LC-00000166,PRJ-001,WBS-00017,CC-00009,2026-06-26,8.0,1.58,516.01,OnPrem-SQLServer
LC-00000167,PRJ-001,WBS-00017,CC-00009,2026-07-03,8.0,0.0,469.28,OnPrem-SQLServer
LC-00000168,PRJ-001,WBS-00018,CC-00002,2026-05-01,8.0,1.41,593.35,OnPrem-SQLServer
LC-00000169,PRJ-001,WBS-00018,CC-00002,2026-06-12,8.0,3.9,826.57,OnPrem-SQLServer
LC-00000170,PRJ-001,WBS-00018,CC-00003,2026-05-22,8.0,0.0,262.32,OnPrem-SQLServer
LC-00000171,PRJ-001,WBS-00018,CC-00003,2026-06-12,8.0,0.0,709.68,OnPrem-SQLServer
LC-00000172,PRJ-001,WBS-00018,CC-00003,2026-07-03,8.0,0.0,544.16,OnPrem-SQLServer
LC-00000173,PRJ-001,WBS-00018,CC-00007,2026-07-24,8.0,0.0,279.92,OnPrem-SQLServer
LC-00000174,PRJ-001,WBS-00018,CC-00008,2026-06-12,8.0,0.0,709.68,OnPrem-SQLServer
LC-00000175,PRJ-001,WBS-00019,CC-00001,2026-07-03,8.0,3.71,1139.05,OnPrem-SQLServer
LC-00000176,PRJ-001,WBS-00019,CC-00002,2026-06-26,8.0,2.56,694.53,OnPrem-SQLServer
LC-00000177,PRJ-001,WBS-00019,CC-00004,2026-06-26,8.0,0.0,622.32,OnPrem-SQLServer
LC-00000178,PRJ-001,WBS-00019,CC-00006,2026-06-26,8.0,3.52,1178.07,OnPrem-SQLServer
LC-00000179,PRJ-001,WBS-00019,CC-00007,2026-05-08,8.0,2.48,384.3,OnPrem-SQLServer
LC-00000180,PRJ-001,WBS-00019,CC-00007,2026-05-29,8.0,0.62,523.83,OnPrem-SQLServer
LC-00000181,PRJ-001,WBS-00019,CC-00007,2026-07-03,8.0,1.3,882.66,OnPrem-SQLServer
LC-00000182,PRJ-001,WBS-00019,CC-00008,2026-06-26,8.0,0.0,622.32,OnPrem-SQLServer
LC-00000183,PRJ-001,WBS-00019,CC-00008,2026-07-10,8.0,3.36,1156.78,OnPrem-SQLServer
LC-00000184,PRJ-001,WBS-00020,CC-00002,2026-06-19,8.0,3.94,777.71,OnPrem-SQLServer
LC-00000185,PRJ-001,WBS-00020,CC-00004,2026-07-03,8.0,2.51,690.13,OnPrem-SQLServer
LC-00000186,PRJ-001,WBS-00020,CC-00005,2026-05-29,8.0,2.54,668.45,OnPrem-SQLServer
LC-00000187,PRJ-001,WBS-00020,CC-00007,2026-07-10,8.0,2.44,627.54,OnPrem-SQLServer
LC-00000188,PRJ-001,WBS-00020,CC-00008,2026-05-29,8.0,0.0,262.32,OnPrem-SQLServer
LC-00000189,PRJ-001,WBS-00021,CC-00001,2026-05-08,8.0,3.42,770.21,OnPrem-SQLServer
LC-00000190,PRJ-001,WBS-00021,CC-00001,2026-07-24,8.0,0.0,262.32,OnPrem-SQLServer
LC-00000191,PRJ-001,WBS-00021,CC-00003,2026-05-08,8.0,2.97,925.53,OnPrem-SQLServer
LC-00000192,PRJ-001,WBS-00021,CC-00003,2026-05-22,8.0,0.0,262.32,OnPrem-SQLServer
LC-00000193,PRJ-001,WBS-00021,CC-00003,2026-06-19,8.0,3.15,720.24,OnPrem-SQLServer
LC-00000194,PRJ-001,WBS-00021,CC-00004,2026-05-22,8.0,3.76,772.02,OnPrem-SQLServer
LC-00000195,PRJ-001,WBS-00021,CC-00009,2026-05-15,8.0,1.57,607.42,OnPrem-SQLServer
LC-00000196,PRJ-001,WBS-00022,CC-00001,2026-06-12,8.0,0.0,709.68,OnPrem-SQLServer
LC-00000197,PRJ-001,WBS-00022,CC-00001,2026-07-24,8.0,1.75,594.04,OnPrem-SQLServer
LC-00000198,PRJ-001,WBS-00022,CC-00004,2026-06-12,8.0,0.0,262.32,OnPrem-SQLServer
LC-00000199,PRJ-001,WBS-00022,CC-00004,2026-06-19,8.0,0.0,430.56,OnPrem-SQLServer
LC-00000200,PRJ-001,WBS-00022,CC-00004,2026-06-26,16.0,2.4,668.2,OnPrem-SQLServer
LC-00000201,PRJ-001,WBS-00022,CC-00004,2026-07-17,0.0,8.36,852.97,OnPrem-SQLServer
LC-00000202,PRJ-001,WBS-00022,CC-00005,2026-05-08,8.0,0.0,469.28,OnPrem-SQLServer
LC-00000203,PRJ-001,WBS-00022,CC-00007,2026-05-01,8.0,1.78,349.87,OnPrem-SQLServer
LC-00000204,PRJ-001,WBS-00022,CC-00007,2026-05-29,8.0,0.0,452.8,OnPrem-SQLServer
LC-00000205,PRJ-001,WBS-00022,CC-00008,2026-06-05,8.0,1.07,543.64,OnPrem-SQLServer
LC-00000206,PRJ-001,WBS-00022,CC-00008,2026-06-12,8.0,2.47,982.87,OnPrem-SQLServer
LC-00000207,PRJ-001,WBS-00022,CC-00008,2026-06-26,8.0,3.78,680.22,OnPrem-SQLServer
LC-00000208,PRJ-001,WBS-00022,CC-00008,2026-07-10,8.0,3.38,1159.44,OnPrem-SQLServer
LC-00000209,PRJ-001,WBS-00022,CC-00009,2026-05-29,8.0,1.94,760.75,OnPrem-SQLServer
LC-00000210,PRJ-001,WBS-00022,CC-00009,2026-07-10,8.0,2.72,396.1,OnPrem-SQLServer
LC-00000211,PRJ-001,WBS-00023,CC-00001,2026-06-12,8.0,0.0,622.32,OnPrem-SQLServer
LC-00000212,PRJ-001,WBS-00023,CC-00003,2026-07-24,8.0,0.0,262.32,OnPrem-SQLServer
LC-00000213,PRJ-001,WBS-00023,CC-00006,2026-07-10,8.0,0.0,282.64,OnPrem-SQLServer
LC-00000214,PRJ-001,WBS-00023,CC-00006,2026-07-24,8.0,2.39,647.72,OnPrem-SQLServer
LC-00000215,PRJ-001,WBS-00023,CC-00007,2026-07-17,8.0,1.72,346.92,OnPrem-SQLServer
LC-00000216,PRJ-001,WBS-00023,CC-00008,2026-06-19,8.0,1.39,570.81,OnPrem-SQLServer
LC-00000217,PRJ-001,WBS-00023,CC-00008,2026-07-03,8.0,2.48,687.5,OnPrem-SQLServer
LC-00000218,PRJ-001,WBS-00023,CC-00008,2026-07-10,8.0,1.87,394.38,OnPrem-SQLServer
LC-00000219,PRJ-001,WBS-00024,CC-00001,2026-07-10,8.0,3.14,1000.53,OnPrem-SQLServer
LC-00000220,PRJ-001,WBS-00024,CC-00001,2026-07-24,0.0,9.52,468.24,OnPrem-SQLServer
LC-00000221,PRJ-001,WBS-00024,CC-00002,2026-06-19,8.0,2.37,654.01,OnPrem-SQLServer
LC-00000222,PRJ-001,WBS-00024,CC-00002,2026-07-10,8.0,1.89,538.93,OnPrem-SQLServer
LC-00000223,PRJ-001,WBS-00024,CC-00003,2026-05-15,8.0,0.0,469.28,OnPrem-SQLServer
LC-00000224,PRJ-001,WBS-00024,CC-00003,2026-06-19,8.0,2.04,386.99,OnPrem-SQLServer
LC-00000225,PRJ-001,WBS-00024,CC-00003,2026-07-17,8.0,0.0,452.8,OnPrem-SQLServer
LC-00000226,PRJ-001,WBS-00024,CC-00004,2026-07-03,8.0,0.0,262.32,OnPrem-SQLServer
LC-00000227,PRJ-001,WBS-00024,CC-00004,2026-07-31,8.0,2.74,1074.28,OnPrem-SQLServer
LC-00000228,PRJ-001,WBS-00024,CC-00004,2026-08-07,0.0,9.4,959.08,OnPrem-SQLServer
LC-00000229,PRJ-001,WBS-00024,CC-00005,2026-07-10,8.0,0.0,544.16,OnPrem-SQLServer
LC-00000230,PRJ-001,WBS-00024,CC-00005,2026-07-31,8.0,2.06,363.64,OnPrem-SQLServer
LC-00000231,PRJ-001,WBS-00024,CC-00008,2026-07-10,8.0,2.32,376.43,OnPrem-SQLServer
LC-00000232,PRJ-001,WBS-00024,CC-00008,2026-07-17,0.0,9.15,767.36,OnPrem-SQLServer
LC-00000233,PRJ-001,WBS-00025,CC-00003,2026-06-26,8.0,3.17,721.93,OnPrem-SQLServer
LC-00000234,PRJ-001,WBS-00025,CC-00003,2026-07-10,8.0,0.0,469.28,OnPrem-SQLServer
LC-00000235,PRJ-001,WBS-00025,CC-00003,2026-08-07,0.0,6.82,571.96,OnPrem-SQLServer
LC-00000236,PRJ-001,WBS-00025,CC-00005,2026-07-10,8.0,3.54,485.81,OnPrem-SQLServer
LC-00000237,PRJ-001,WBS-00025,CC-00005,2026-07-31,0.0,6.25,307.41,OnPrem-SQLServer
LC-00000238,PRJ-001,WBS-00025,CC-00006,2026-07-31,8.0,0.0,262.32,OnPrem-SQLServer
LC-00000239,PRJ-001,WBS-00025,CC-00008,2026-07-10,8.0,0.0,447.28,OnPrem-SQLServer
