timesheet_id,emp_id,week_ending,project_id,status,total_hours,origin_system
TS-0000211,EMP-0026,2026-07-17,PRJ-008,Submitted,41.7,OnPrem-SQLServer
TS-0000212,EMP-0026,2026-07-24,PRJ-008,Approved,42.9,OnPrem-SQLServer
TS-0000213,EMP-0026,2026-07-31,PRJ-008,Approved,40.0,OnPrem-SQLServer
TS-0000214,EMP-0027,2026-06-12,PRJ-007,Approved,41.38,OnPrem-SQLServer
TS-0000215,EMP-0027,2026-06-19,PRJ-007,Approved,41.37,OnPrem-SQLServer
TS-0000216,EMP-0027,2026-06-26,PRJ-007,Approved,42.5,OnPrem-SQLServer
TS-0000217,EMP-0027,2026-07-03,PRJ-007,Approved,41.5,OnPrem-SQLServer
TS-0000218,EMP-0027,2026-07-17,PRJ-007,Approved,40.0,OnPrem-SQLServer
TS-0000219,EMP-0027,2026-07-24,PRJ-007,Approved,40.0,OnPrem-SQLServer
TS-0000220,EMP-0027,2026-07-31,PRJ-007,Approved,40.0,OnPrem-SQLServer
TS-0000221,EMP-0028,2026-05-15,PRJ-009,Approved,41.97,OnPrem-SQLServer
TS-0000222,EMP-0028,2026-05-29,PRJ-009,Approved,40.68,OnPrem-SQLServer
TS-0000223,EMP-0028,2026-06-05,PRJ-009,Submitted,40.0,OnPrem-SQLServer
TS-0000224,EMP-0028,2026-06-12,PRJ-009,Approved,41.44,OnPrem-SQLServer
TS-0000225,EMP-0028,2026-06-19,PRJ-009,Submitted,41.76,OnPrem-SQLServer
TS-0000226,EMP-0028,2026-06-26,PRJ-009,Approved,40.0,OnPrem-SQLServer
TS-0000227,EMP-0028,2026-07-03,PRJ-009,Approved,41.21,OnPrem-SQLServer
TS-0000228,EMP-0028,2026-07-10,PRJ-009,Approved,41.74,OnPrem-SQLServer
TS-0000229,EMP-0028,2026-07-17,PRJ-009,Approved,40.0,OnPrem-SQLServer
TS-0000230,EMP-0028,2026-07-31,PRJ-009,Approved,40.0,OnPrem-SQLServer
TS-0000231,EMP-0029,2026-05-22,PRJ-006,Approved,42.39,OnPrem-SQLServer
TS-0000232,EMP-0029,2026-06-05,PRJ-006,Approved,44.38,OnPrem-SQLServer
TS-0000233,EMP-0029,2026-06-12,PRJ-006,Approved,40.0,OnPrem-SQLServer
TS-0000234,EMP-0029,2026-06-19,PRJ-006,Approved,40.0,OnPrem-SQLServer
TS-0000235,EMP-0029,2026-06-26,PRJ-006,Approved,40.0,OnPrem-SQLServer
TS-0000236,EMP-0029,2026-07-03,PRJ-006,Submitted,40.8,OnPrem-SQLServer
TS-0000237,EMP-0029,2026-07-10,PRJ-006,Approved,41.81,OnPrem-SQLServer
TS-0000238,EMP-0029,2026-07-17,PRJ-006,Approved,41.42,OnPrem-SQLServer
TS-0000239,EMP-0029,2026-07-24,PRJ-006,Approved,42.77,OnPrem-SQLServer
TS-0000240,EMP-0029,2026-07-31,PRJ-006,Approved,43.12,OnPrem-SQLServer
TS-0000241,EMP-0030,2026-05-29,PRJ-008,Approved,40.0,OnPrem-SQLServer
TS-0000242,EMP-0030,2026-06-05,PRJ-008,Approved,40.71,OnPrem-SQLServer
TS-0000243,EMP-0030,2026-06-12,PRJ-008,Submitted,40.0,OnPrem-SQLServer
TS-0000244,EMP-0030,2026-06-19,PRJ-008,Submitted,40.0,OnPrem-SQLServer
TS-0000245,EMP-0030,2026-06-26,PRJ-008,Approved,40.0,OnPrem-SQLServer
TS-0000246,EMP-0030,2026-07-03,PRJ-008,Approved,40.0,OnPrem-SQLServer
TS-0000247,EMP-0030,2026-07-17,PRJ-005,Approved,41.98,OnPrem-SQLServer
TS-0000248,EMP-0030,2026-07-24,PRJ-008,Submitted,40.0,OnPrem-SQLServer
TS-0000249,EMP-0030,2026-07-31,PRJ-008,Approved,40.0,OnPrem-SQLServer
TS-0000250,EMP-0031,2026-06-05,PRJ-008,Submitted,40.0,OnPrem-SQLServer
TS-0000251,EMP-0031,2026-06-12,PRJ-008,Approved,41.26,OnPrem-SQLServer
TS-0000252,EMP-0031,2026-06-19,PRJ-008,Approved,41.2,OnPrem-SQLServer
TS-0000253,EMP-0031,2026-06-26,PRJ-008,Approved,40.0,OnPrem-SQLServer
TS-0000254,EMP-0031,2026-07-03,PRJ-008,Approved,40.0,OnPrem-SQLServer
TS-0000255,EMP-0031,2026-07-17,PRJ-008,Approved,41.3,OnPrem-SQLServer
TS-0000256,EMP-0031,2026-07-24,PRJ-008,Approved,40.0,OnPrem-SQLServer
TS-0000257,EMP-0031,2026-07-31,PRJ-008,Approved,41.06,OnPrem-SQLServer
TS-0000258,EMP-0032,2026-05-29,PRJ-008,Approved,42.98,OnPrem-SQLServer
TS-0000259,EMP-0032,2026-06-05,PRJ-008,Approved,40.67,OnPrem-SQLServer
TS-0000260,EMP-0032,2026-06-12,PRJ-007,Approved,40.0,OnPrem-SQLServer
TS-0000261,EMP-0032,2026-06-19,PRJ-008,Approved,42.47,OnPrem-SQLServer
TS-0000262,EMP-0032,2026-06-26,PRJ-008,Approved,40.0,OnPrem-SQLServer
TS-0000263,EMP-0032,2026-07-10,PRJ-008,Approved,40.0,OnPrem-SQLServer
TS-0000264,EMP-0032,2026-07-17,PRJ-008,Approved,41.87,OnPrem-SQLServer
TS-0000265,EMP-0032,2026-07-24,PRJ-008,Approved,43.69,OnPrem-SQLServer
TS-0000266,EMP-0034,2026-06-12,PRJ-011,Approved,40.0,OnPrem-SQLServer
TS-0000267,EMP-0034,2026-06-19,PRJ-011,Approved,41.95,OnPrem-SQLServer
TS-0000268,EMP-0034,2026-06-26,PRJ-011,Submitted,40.0,OnPrem-SQLServer
TS-0000269,EMP-0034,2026-07-03,PRJ-011,Rejected,40.0,OnPrem-SQLServer
TS-0000270,EMP-0034,2026-07-10,PRJ-002,Approved,40.61,OnPrem-SQLServer
TS-0000271,EMP-0034,2026-07-17,PRJ-011,Approved,40.0,OnPrem-SQLServer
TS-0000272,EMP-0034,2026-07-24,PRJ-011,Approved,40.0,OnPrem-SQLServer
TS-0000273,EMP-0034,2026-07-31,PRJ-011,Approved,40.0,OnPrem-SQLServer
TS-0000274,EMP-0035,2026-06-05,PRJ-005,Approved,40.0,OnPrem-SQLServer
TS-0000275,EMP-0035,2026-06-12,PRJ-005,Approved,40.0,OnPrem-SQLServer
TS-0000276,EMP-0035,2026-06-19,PRJ-005,Approved,40.0,OnPrem-SQLServer
TS-0000277,EMP-0035,2026-06-26,PRJ-005,Approved,40.0,OnPrem-SQLServer
TS-0000278,EMP-0035,2026-07-03,PRJ-005,Approved,40.0,OnPrem-SQLServer
TS-0000279,EMP-0035,2026-07-10,PRJ-008,Approved,41.94,OnPrem-SQLServer
TS-0000280,EMP-0035,2026-07-17,PRJ-005,Submitted,40.0,OnPrem-SQLServer
TS-0000281,EMP-0035,2026-07-24,PRJ-005,Approved,41.43,OnPrem-SQLServer
TS-0000282,EMP-0035,2026-07-31,PRJ-005,Approved,40.0,OnPrem-SQLServer
TS-0000283,EMP-0036,2026-05-22,PRJ-011,Approved,40.0,OnPrem-SQLServer
TS-0000284,EMP-0036,2026-05-29,PRJ-008,Submitted,40.74,OnPrem-SQLServer
TS-0000285,EMP-0036,2026-06-05,PRJ-011,Submitted,41.38,OnPrem-SQLServer
TS-0000286,EMP-0036,2026-06-12,PRJ-011,Rejected,41.61,OnPrem-SQLServer
TS-0000287,EMP-0036,2026-06-26,PRJ-011,Rejected,42.23,OnPrem-SQLServer
TS-0000288,EMP-0036,2026-07-03,PRJ-010,Approved,40.66,OnPrem-SQLServer
TS-0000289,EMP-0036,2026-07-10,PRJ-011,Approved,41.63,OnPrem-SQLServer
