entry_id,timesheet_id,emp_id,work_date,project_id,wbs_id,cost_code_id,clock_in,clock_out,hours,overtime_hours,origin_system
TE-00000012,TS-0000003,EMP-0001,2026-05-26,PRJ-002,WBS-00059,CC-00016,2026-05-26 06:00:00,2026-05-26 14:30:00,8.0,0.0,OnPrem-SQLServer
TE-00000013,TS-0000003,EMP-0001,2026-05-27,PRJ-002,WBS-00068,CC-00010,2026-05-27 06:00:00,2026-05-27 14:30:00,8.0,0.0,OnPrem-SQLServer
TE-00000014,TS-0000003,EMP-0001,2026-05-28,PRJ-002,WBS-00064,CC-00017,2026-05-28 06:30:00,2026-05-28 15:00:00,8.0,0.0,OnPrem-SQLServer
TE-00000015,TS-0000003,EMP-0001,2026-05-29,PRJ-002,WBS-00076,CC-00015,2026-05-29 06:00:00,2026-05-29 14:30:00,8.0,0.0,OnPrem-SQLServer
TE-00000016,TS-0000004,EMP-0001,2026-06-01,PRJ-002,WBS-00066,CC-00012,2026-06-01 06:30:00,2026-06-01 15:00:00,8.0,0.0,OnPrem-SQLServer
TE-00000017,TS-0000004,EMP-0001,2026-06-02,PRJ-002,WBS-00054,CC-00012,2026-06-02 06:15:00,2026-06-02 14:45:00,8.0,0.0,OnPrem-SQLServer
TE-00000018,TS-0000004,EMP-0001,2026-06-03,PRJ-002,WBS-00064,CC-00012,2026-06-03 06:00:00,2026-06-03 16:10:12,9.67,1.67,OnPrem-SQLServer
TE-00000019,TS-0000004,EMP-0001,2026-06-04,PRJ-002,WBS-00074,CC-00014,2026-06-04 06:30:00,2026-06-04 15:00:00,8.0,0.0,OnPrem-SQLServer
TE-00000020,TS-0000004,EMP-0001,2026-06-05,PRJ-002,WBS-00076,CC-00018,2026-06-05 06:00:00,2026-06-05 14:30:00,8.0,0.0,OnPrem-SQLServer
TE-00000021,TS-0000005,EMP-0001,2026-06-08,PRJ-002,WBS-00076,CC-00015,2026-06-08 06:30:00,2026-06-08 15:00:00,8.0,0.0,OnPrem-SQLServer
TE-00000022,TS-0000005,EMP-0001,2026-06-09,PRJ-002,WBS-00061,CC-00017,2026-06-09 06:30:00,2026-06-09 15:00:00,8.0,0.0,OnPrem-SQLServer
TE-00000023,TS-0000005,EMP-0001,2026-06-10,PRJ-002,WBS-00075,CC-00011,2026-06-10 06:15:00,2026-06-10 14:45:00,8.0,0.0,OnPrem-SQLServer
TE-00000024,TS-0000005,EMP-0001,2026-06-11,PRJ-002,WBS-00066,CC-00014,2026-06-11 06:00:00,2026-06-11 14:30:00,8.0,0.0,OnPrem-SQLServer
TE-00000025,TS-0000005,EMP-0001,2026-06-12,PRJ-002,WBS-00075,CC-00014,2026-06-12 06:30:00,2026-06-12 15:00:00,8.0,0.0,OnPrem-SQLServer
TE-00000026,TS-0000006,EMP-0001,2026-06-29,PRJ-002,WBS-00073,CC-00017,2026-06-29 06:15:00,2026-06-29 16:09:00,9.4,1.4,OnPrem-SQLServer
TE-00000027,TS-0000006,EMP-0001,2026-06-30,PRJ-002,WBS-00070,CC-00011,2026-06-30 06:00:00,2026-06-30 14:30:00,8.0,0.0,OnPrem-SQLServer
TE-00000028,TS-0000006,EMP-0001,2026-07-01,PRJ-002,WBS-00087,CC-00013,2026-07-01 06:15:00,2026-07-01 14:45:00,8.0,0.0,OnPrem-SQLServer
TE-00000029,TS-0000006,EMP-0001,2026-07-02,PRJ-002,WBS-00057,CC-00016,2026-07-02 06:15:00,2026-07-02 15:46:12,9.02,1.02,OnPrem-SQLServer
TE-00000030,TS-0000006,EMP-0001,2026-07-03,PRJ-002,WBS-00086,CC-00015,2026-07-03 06:15:00,2026-07-03 14:45:00,8.0,0.0,OnPrem-SQLServer
TE-00000031,TS-0000007,EMP-0001,2026-07-06,PRJ-002,WBS-00085,CC-00018,2026-07-06 06:15:00,2026-07-06 14:45:00,8.0,0.0,OnPrem-SQLServer
TE-00000032,TS-0000007,EMP-0001,2026-07-07,PRJ-002,WBS-00057,CC-00011,2026-07-07 06:15:00,2026-07-07 14:45:00,8.0,0.0,OnPrem-SQLServer
TE-00000033,TS-0000007,EMP-0001,2026-07-08,PRJ-002,WBS-00054,CC-00015,2026-07-08 06:00:00,2026-07-08 14:30:00,8.0,0.0,OnPrem-SQLServer
TE-00000034,TS-0000007,EMP-0001,2026-07-09,PRJ-002,WBS-00061,CC-00015,2026-07-09 06:15:00,2026-07-09 14:45:00,8.0,0.0,OnPrem-SQLServer
TE-00000035,TS-0000007,EMP-0001,2026-07-10,PRJ-002,WBS-00070,CC-00017,2026-07-10 06:30:00,2026-07-10 15:00:00,8.0,0.0,OnPrem-SQLServer
TE-00000036,TS-0000008,EMP-0001,2026-07-13,PRJ-002,WBS-00085,CC-00017,2026-07-13 06:00:00,2026-07-13 14:30:00,8.0,0.0,OnPrem-SQLServer
TE-00000037,TS-0000008,EMP-0001,2026-07-14,PRJ-002,WBS-00061,CC-00014,2026-07-14 06:15:00,2026-07-14 14:45:00,8.0,0.0,OnPrem-SQLServer
TE-00000038,TS-0000008,EMP-0001,2026-07-15,PRJ-002,WBS-00084,CC-00015,2026-07-15 06:15:00,2026-07-15 14:45:00,8.0,0.0,OnPrem-SQLServer
TE-00000039,TS-0000008,EMP-0001,2026-07-16,PRJ-002,WBS-00064,CC-00013,2026-07-16 06:15:00,2026-07-16 14:45:00,8.0,0.0,OnPrem-SQLServer
TE-00000040,TS-0000008,EMP-0001,2026-07-17,PRJ-002,WBS-00059,CC-00014,2026-07-17 06:30:00,2026-07-17 15:34:48,8.58,0.58,OnPrem-SQLServer
TE-00000041,TS-0000009,EMP-0001,2026-07-20,PRJ-002,WBS-00077,CC-00017,2026-07-20 06:30:00,2026-07-20 15:00:00,8.0,0.0,OnPrem-SQLServer
TE-00000042,TS-0000009,EMP-0001,2026-07-21,PRJ-002,WBS-00087,CC-00011,2026-07-21 06:15:00,2026-07-21 14:45:00,8.0,0.0,OnPrem-SQLServer
TE-00000043,TS-0000009,EMP-0001,2026-07-22,PRJ-002,WBS-00061,CC-00012,2026-07-22 06:00:00,2026-07-22 15:45:00,9.25,1.25,OnPrem-SQLServer
TE-00000044,TS-0000009,EMP-0001,2026-07-23,PRJ-002,WBS-00080,CC-00011,2026-07-23 06:15:00,2026-07-23 14:45:00,8.0,0.0,OnPrem-SQLServer
TE-00000045,TS-0000009,EMP-0001,2026-07-24,PRJ-002,WBS-00061,CC-00010,2026-07-24 06:00:00,2026-07-24 14:30:00,8.0,0.0,OnPrem-SQLServer
TE-00000046,TS-0000010,EMP-0001,2026-07-27,PRJ-002,WBS-00085,CC-00013,2026-07-27 06:15:00,2026-07-27 16:39:36,9.91,1.91,OnPrem-SQLServer
TE-00000047,TS-0000010,EMP-0001,2026-07-28,PRJ-002,WBS-00084,CC-00015,2026-07-28 06:15:00,2026-07-28 14:45:00,8.0,0.0,OnPrem-SQLServer
TE-00000048,TS-0000010,EMP-0001,2026-07-29,PRJ-002,WBS-00071,CC-00015,2026-07-29 06:15:00,2026-07-29 14:45:00,8.0,0.0,OnPrem-SQLServer
TE-00000049,TS-0000010,EMP-0001,2026-07-30,PRJ-002,WBS-00086,CC-00015,2026-07-30 06:15:00,2026-07-30 14:45:00,8.0,0.0,OnPrem-SQLServer
TE-00000050,TS-0000010,EMP-0001,2026-07-31,PRJ-002,WBS-00084,CC-00010,2026-07-31 06:30:00,2026-07-31 15:00:00,8.0,0.0,OnPrem-SQLServer
TE-00000051,TS-0000011,EMP-0002,2026-04-27,PRJ-006,WBS-00251,CC-00046,2026-04-27 06:15:00,2026-04-27 16:05:24,9.34,1.34,OnPrem-SQLServer
TE-00000052,TS-0000011,EMP-0002,2026-04-28,PRJ-006,WBS-00257,CC-00046,2026-04-28 06:00:00,2026-04-28 14:30:00,8.0,0.0,OnPrem-SQLServer
TE-00000053,TS-0000011,EMP-0002,2026-04-29,PRJ-006,WBS-00229,CC-00047,2026-04-29 06:00:00,2026-04-29 14:30:00,8.0,0.0,OnPrem-SQLServer
TE-00000054,TS-0000011,EMP-0002,2026-04-30,PRJ-006,WBS-00232,CC-00051,2026-04-30 06:00:00,2026-04-30 14:30:00,8.0,0.0,OnPrem-SQLServer
TE-00000055,TS-0000011,EMP-0002,2026-05-01,PRJ-006,WBS-00254,CC-00053,2026-05-01 06:30:00,2026-05-01 15:00:00,8.0,0.0,OnPrem-SQLServer
TE-00000056,TS-0000012,EMP-0002,2026-05-04,PRJ-006,WBS-00217,CC-00048,2026-05-04 06:30:00,2026-05-04 15:00:00,8.0,0.0,OnPrem-SQLServer
TE-00000057,TS-0000012,EMP-0002,2026-05-05,PRJ-006,WBS-00227,CC-00046,2026-05-05 06:15:00,2026-05-05 14:45:00,8.0,0.0,OnPrem-SQLServer
TE-00000058,TS-0000012,EMP-0002,2026-05-06,PRJ-006,WBS-00219,CC-00050,2026-05-06 06:15:00,2026-05-06 14:45:00,8.0,0.0,OnPrem-SQLServer
TE-00000059,TS-0000012,EMP-0002,2026-05-07,PRJ-006,WBS-00217,CC-00051,2026-05-07 06:00:00,2026-05-07 14:30:00,8.0,0.0,OnPrem-SQLServer
TE-00000060,TS-0000012,EMP-0002,2026-05-08,PRJ-006,WBS-00247,CC-00049,2026-05-08 06:30:00,2026-05-08 15:00:00,8.0,0.0,OnPrem-SQLServer
TE-00000061,TS-0000013,EMP-0002,2026-05-11,PRJ-006,WBS-00224,CC-00052,2026-05-11 06:15:00,2026-05-11 14:45:00,8.0,0.0,OnPrem-SQLServer
TE-00000062,TS-0000013,EMP-0002,2026-05-12,PRJ-006,WBS-00246,CC-00052,2026-05-12 06:30:00,2026-05-12 15:00:00,8.0,0.0,OnPrem-SQLServer
TE-00000063,TS-0000013,EMP-0002,2026-05-13,PRJ-006,WBS-00230,CC-00050,2026-05-13 06:00:00,2026-05-13 15:57:36,9.46,1.46,OnPrem-SQLServer
TE-00000064,TS-0000013,EMP-0002,2026-05-14,PRJ-006,WBS-00258,CC-00053,2026-05-14 06:15:00,2026-05-14 14:45:00,8.0,0.0,OnPrem-SQLServer
TE-00000065,TS-0000013,EMP-0002,2026-05-15,PRJ-006,WBS-00253,CC-00051,2026-05-15 06:00:00,2026-05-15 14:30:00,8.0,0.0,OnPrem-SQLServer
TE-00000066,TS-0000014,EMP-0002,2026-05-18,PRJ-006,WBS-00227,CC-00046,2026-05-18 06:00:00,2026-05-18 14:30:00,8.0,0.0,OnPrem-SQLServer
TE-00000067,TS-0000014,EMP-0002,2026-05-19,PRJ-006,WBS-00228,CC-00046,2026-05-19 06:15:00,2026-05-19 14:45:00,8.0,0.0,OnPrem-SQLServer
TE-00000068,TS-0000014,EMP-0002,2026-05-20,PRJ-006,WBS-00239,CC-00054,2026-05-20 06:30:00,2026-05-20 16:27:36,9.46,1.46,OnPrem-SQLServer
TE-00000069,TS-0000014,EMP-0002,2026-05-21,PRJ-006,WBS-00230,CC-00047,2026-05-21 06:00:00,2026-05-21 14:30:00,8.0,0.0,OnPrem-SQLServer
TE-00000070,TS-0000014,EMP-0002,2026-05-22,PRJ-006,WBS-00220,CC-00047,2026-05-22 06:30:00,2026-05-22 15:00:00,8.0,0.0,OnPrem-SQLServer
TE-00000071,TS-0000015,EMP-0002,2026-05-25,PRJ-006,WBS-00232,CC-00052,2026-05-25 06:30:00,2026-05-25 15:00:00,8.0,0.0,OnPrem-SQLServer
TE-00000072,TS-0000015,EMP-0002,2026-05-26,PRJ-006,WBS-00236,CC-00050,2026-05-26 06:30:00,2026-05-26 15:00:00,8.0,0.0,OnPrem-SQLServer
TE-00000073,TS-0000015,EMP-0002,2026-05-27,PRJ-006,WBS-00224,CC-00051,2026-05-27 06:15:00,2026-05-27 14:45:00,8.0,0.0,OnPrem-SQLServer
TE-00000074,TS-0000015,EMP-0002,2026-05-28,PRJ-006,WBS-00231,CC-00052,2026-05-28 06:15:00,2026-05-28 14:45:00,8.0,0.0,OnPrem-SQLServer
TE-00000075,TS-0000015,EMP-0002,2026-05-29,PRJ-006,WBS-00243,CC-00051,2026-05-29 06:15:00,2026-05-29 14:45:00,8.0,0.0,OnPrem-SQLServer
TE-00000076,TS-0000016,EMP-0002,2026-06-01,PRJ-004,WBS-00145,CC-00030,2026-06-01 06:00:00,2026-06-01 15:49:12,9.32,1.32,OnPrem-SQLServer
TE-00000077,TS-0000016,EMP-0002,2026-06-02,PRJ-004,WBS-00133,CC-00033,2026-06-02 06:00:00,2026-06-02 14:30:00,8.0,0.0,OnPrem-SQLServer
TE-00000078,TS-0000016,EMP-0002,2026-06-03,PRJ-004,WBS-00164,CC-00029,2026-06-03 06:00:00,2026-06-03 16:27:00,9.95,1.95,OnPrem-SQLServer
TE-00000079,TS-0000016,EMP-0002,2026-06-04,PRJ-004,WBS-00133,CC-00030,2026-06-04 06:00:00,2026-06-04 14:30:00,8.0,0.0,OnPrem-SQLServer
TE-00000080,TS-0000016,EMP-0002,2026-06-05,PRJ-004,WBS-00160,CC-00034,2026-06-05 06:30:00,2026-06-05 15:57:36,8.96,0.96,OnPrem-SQLServer
TE-00000081,TS-0000017,EMP-0002,2026-06-08,PRJ-006,WBS-00258,CC-00050,2026-06-08 06:15:00,2026-06-08 14:45:00,8.0,0.0,OnPrem-SQLServer
TE-00000082,TS-0000017,EMP-0002,2026-06-09,PRJ-006,WBS-00242,CC-00053,2026-06-09 06:00:00,2026-06-09 14:30:00,8.0,0.0,OnPrem-SQLServer
TE-00000083,TS-0000017,EMP-0002,2026-06-10,PRJ-006,WBS-00243,CC-00048,2026-06-10 06:00:00,2026-06-10 14:30:00,8.0,0.0,OnPrem-SQLServer
TE-00000084,TS-0000017,EMP-0002,2026-06-11,PRJ-006,WBS-00244,CC-00047,2026-06-11 06:00:00,2026-06-11 14:30:00,8.0,0.0,OnPrem-SQLServer
TE-00000085,TS-0000017,EMP-0002,2026-06-12,PRJ-006,WBS-00249,CC-00052,2026-06-12 06:15:00,2026-06-12 14:45:00,8.0,0.0,OnPrem-SQLServer
TE-00000086,TS-0000018,EMP-0002,2026-06-15,PRJ-006,WBS-00228,CC-00048,2026-06-15 06:00:00,2026-06-15 14:30:00,8.0,0.0,OnPrem-SQLServer
TE-00000087,TS-0000018,EMP-0002,2026-06-16,PRJ-006,WBS-00246,CC-00052,2026-06-16 06:30:00,2026-06-16 15:00:00,8.0,0.0,OnPrem-SQLServer
TE-00000088,TS-0000018,EMP-0002,2026-06-17,PRJ-006,WBS-00214,CC-00047,2026-06-17 06:00:00,2026-06-17 14:30:00,8.0,0.0,OnPrem-SQLServer
TE-00000089,TS-0000018,EMP-0002,2026-06-18,PRJ-006,WBS-00258,CC-00051,2026-06-18 06:15:00,2026-06-18 14:45:00,8.0,0.0,OnPrem-SQLServer
TE-00000090,TS-0000018,EMP-0002,2026-06-19,PRJ-006,WBS-00250,CC-00051,2026-06-19 06:00:00,2026-06-19 14:30:00,8.0,0.0,OnPrem-SQLServer
TE-00000091,TS-0000019,EMP-0002,2026-06-22,PRJ-006,WBS-00214,CC-00051,2026-06-22 06:15:00,2026-06-22 14:45:00,8.0,0.0,OnPrem-SQLServer
TE-00000092,TS-0000019,EMP-0002,2026-06-23,PRJ-006,WBS-00243,CC-00054,2026-06-23 06:00:00,2026-06-23 14:30:00,8.0,0.0,OnPrem-SQLServer
TE-00000093,TS-0000019,EMP-0002,2026-06-24,PRJ-006,WBS-00232,CC-00049,2026-06-24 06:00:00,2026-06-24 14:30:00,8.0,0.0,OnPrem-SQLServer
TE-00000094,TS-0000019,EMP-0002,2026-06-25,PRJ-006,WBS-00248,CC-00047,2026-06-25 06:15:00,2026-06-25 14:45:00,8.0,0.0,OnPrem-SQLServer
TE-00000095,TS-0000019,EMP-0002,2026-06-26,PRJ-006,WBS-00224,CC-00049,2026-06-26 06:00:00,2026-06-26 14:30:00,8.0,0.0,OnPrem-SQLServer
TE-00000096,TS-0000020,EMP-0002,2026-07-13,PRJ-006,WBS-00227,CC-00054,2026-07-13 06:00:00,2026-07-13 14:30:00,8.0,0.0,OnPrem-SQLServer
TE-00000097,TS-0000020,EMP-0002,2026-07-14,PRJ-006,WBS-00235,CC-00046,2026-07-14 06:15:00,2026-07-14 14:45:00,8.0,0.0,OnPrem-SQLServer
TE-00000098,TS-0000020,EMP-0002,2026-07-15,PRJ-006,WBS-00228,CC-00052,2026-07-15 06:00:00,2026-07-15 15:16:12,8.77,0.77,OnPrem-SQLServer
TE-00000099,TS-0000020,EMP-0002,2026-07-16,PRJ-006,WBS-00232,CC-00054,2026-07-16 06:00:00,2026-07-16 14:30:00,8.0,0.0,OnPrem-SQLServer
TE-00000100,TS-0000020,EMP-0002,2026-07-17,PRJ-006,WBS-00221,CC-00053,2026-07-17 06:00:00,2026-07-17 14:30:00,8.0,0.0,OnPrem-SQLServer
TE-00000101,TS-0000021,EMP-0002,2026-07-27,PRJ-006,WBS-00242,CC-00054,2026-07-27 06:15:00,2026-07-27 14:45:00,8.0,0.0,OnPrem-SQLServer
TE-00000102,TS-0000021,EMP-0002,2026-07-28,PRJ-006,WBS-00244,CC-00050,2026-07-28 06:00:00,2026-07-28 14:30:00,8.0,0.0,OnPrem-SQLServer
TE-00000103,TS-0000021,EMP-0002,2026-07-29,PRJ-006,WBS-00221,CC-00050,2026-07-29 06:15:00,2026-07-29 14:45:00,8.0,0.0,OnPrem-SQLServer
TE-00000104,TS-0000021,EMP-0002,2026-07-30,PRJ-006,WBS-00214,CC-00048,2026-07-30 06:15:00,2026-07-30 14:45:00,8.0,0.0,OnPrem-SQLServer
TE-00000105,TS-0000021,EMP-0002,2026-07-31,PRJ-006,WBS-00227,CC-00053,2026-07-31 06:15:00,2026-07-31 14:45:00,8.0,0.0,OnPrem-SQLServer
TE-00000106,TS-0000022,EMP-0003,2026-05-25,PRJ-003,WBS-00108,CC-00022,2026-05-25 06:30:00,2026-05-25 15:00:00,8.0,0.0,OnPrem-SQLServer
TE-00000107,TS-0000022,EMP-0003,2026-05-26,PRJ-003,WBS-00095,CC-00024,2026-05-26 06:00:00,2026-05-26 14:30:00,8.0,0.0,OnPrem-SQLServer
TE-00000108,TS-0000022,EMP-0003,2026-05-27,PRJ-003,WBS-00106,CC-00025,2026-05-27 06:30:00,2026-05-27 15:00:00,8.0,0.0,OnPrem-SQLServer
TE-00000109,TS-0000022,EMP-0003,2026-05-28,PRJ-003,WBS-00089,CC-00020,2026-05-28 06:00:00,2026-05-28 14:30:00,8.0,0.0,OnPrem-SQLServer
TE-00000110,TS-0000022,EMP-0003,2026-05-29,PRJ-003,WBS-00117,CC-00026,2026-05-29 06:30:00,2026-05-29 15:00:00,8.0,0.0,OnPrem-SQLServer
TE-00000111,TS-0000023,EMP-0003,2026-06-01,PRJ-005,WBS-00199,CC-00039,2026-06-01 06:00:00,2026-06-01 16:03:36,9.56,1.56,OnPrem-SQLServer
TE-00000112,TS-0000023,EMP-0003,2026-06-02,PRJ-005,WBS-00186,CC-00038,2026-06-02 06:15:00,2026-06-02 14:45:00,8.0,0.0,OnPrem-SQLServer
TE-00000113,TS-0000023,EMP-0003,2026-06-03,PRJ-005,WBS-00184,CC-00038,2026-06-03 06:15:00,2026-06-03 14:45:00,8.0,0.0,OnPrem-SQLServer
TE-00000114,TS-0000023,EMP-0003,2026-06-04,PRJ-005,WBS-00198,CC-00042,2026-06-04 06:00:00,2026-06-04 14:30:00,8.0,0.0,OnPrem-SQLServer
TE-00000115,TS-0000023,EMP-0003,2026-06-05,PRJ-005,WBS-00175,CC-00039,2026-06-05 06:30:00,2026-06-05 15:00:00,8.0,0.0,OnPrem-SQLServer
TE-00000116,TS-0000024,EMP-0003,2026-06-08,PRJ-003,WBS-00110,CC-00020,2026-06-08 06:00:00,2026-06-08 15:32:24,9.04,1.04,OnPrem-SQLServer
TE-00000117,TS-0000024,EMP-0003,2026-06-09,PRJ-003,WBS-00090,CC-00024,2026-06-09 06:15:00,2026-06-09 16:03:36,9.31,1.31,OnPrem-SQLServer
TE-00000118,TS-0000024,EMP-0003,2026-06-10,PRJ-003,WBS-00109,CC-00026,2026-06-10 06:00:00,2026-06-10 14:30:00,8.0,0.0,OnPrem-SQLServer
TE-00000119,TS-0000024,EMP-0003,2026-06-11,PRJ-003,WBS-00100,CC-00024,2026-06-11 06:00:00,2026-06-11 14:30:00,8.0,0.0,OnPrem-SQLServer
TE-00000120,TS-0000024,EMP-0003,2026-06-12,PRJ-003,WBS-00128,CC-00020,2026-06-12 06:30:00,2026-06-12 15:00:00,8.0,0.0,OnPrem-SQLServer
TE-00000121,TS-0000025,EMP-0003,2026-06-15,PRJ-008,WBS-00312,CC-00068,2026-06-15 06:30:00,2026-06-15 16:26:24,9.44,1.44,OnPrem-SQLServer
TE-00000122,TS-0000025,EMP-0003,2026-06-16,PRJ-008,WBS-00359,CC-00072,2026-06-16 06:30:00,2026-06-16 15:00:00,8.0,0.0,OnPrem-SQLServer
TE-00000123,TS-0000025,EMP-0003,2026-06-17,PRJ-008,WBS-00304,CC-00064,2026-06-17 06:30:00,2026-06-17 15:00:00,8.0,0.0,OnPrem-SQLServer
TE-00000124,TS-0000025,EMP-0003,2026-06-18,PRJ-008,WBS-00341,CC-00066,2026-06-18 06:15:00,2026-06-18 14:45:00,8.0,0.0,OnPrem-SQLServer
TE-00000125,TS-0000025,EMP-0003,2026-06-19,PRJ-008,WBS-00332,CC-00065,2026-06-19 06:30:00,2026-06-19 16:34:48,9.58,1.58,OnPrem-SQLServer
TE-00000126,TS-0000026,EMP-0003,2026-06-22,PRJ-003,WBS-00109,CC-00023,2026-06-22 06:00:00,2026-06-22 14:30:00,8.0,0.0,OnPrem-SQLServer
TE-00000127,TS-0000026,EMP-0003,2026-06-23,PRJ-003,WBS-00099,CC-00021,2026-06-23 06:30:00,2026-06-23 15:00:00,8.0,0.0,OnPrem-SQLServer
TE-00000128,TS-0000026,EMP-0003,2026-06-24,PRJ-003,WBS-00124,CC-00022,2026-06-24 06:30:00,2026-06-24 15:00:00,8.0,0.0,OnPrem-SQLServer
TE-00000129,TS-0000026,EMP-0003,2026-06-25,PRJ-003,WBS-00117,CC-00027,2026-06-25 06:00:00,2026-06-25 14:30:00,8.0,0.0,OnPrem-SQLServer
TE-00000130,TS-0000026,EMP-0003,2026-06-26,PRJ-003,WBS-00108,CC-00019,2026-06-26 06:30:00,2026-06-26 15:00:00,8.0,0.0,OnPrem-SQLServer
TE-00000131,TS-0000027,EMP-0003,2026-06-29,PRJ-003,WBS-00122,CC-00023,2026-06-29 06:30:00,2026-06-29 15:00:00,8.0,0.0,OnPrem-SQLServer
TE-00000132,TS-0000027,EMP-0003,2026-06-30,PRJ-003,WBS-00094,CC-00019,2026-06-30 06:15:00,2026-06-30 14:45:00,8.0,0.0,OnPrem-SQLServer
TE-00000133,TS-0000027,EMP-0003,2026-07-01,PRJ-003,WBS-00113,CC-00022,2026-07-01 06:15:00,2026-07-01 14:45:00,8.0,0.0,OnPrem-SQLServer
TE-00000134,TS-0000027,EMP-0003,2026-07-02,PRJ-003,WBS-00110,CC-00020,2026-07-02 06:30:00,2026-07-02 15:00:00,8.0,0.0,OnPrem-SQLServer
TE-00000135,TS-0000027,EMP-0003,2026-07-03,PRJ-003,WBS-00094,CC-00021,2026-07-03 06:00:00,2026-07-03 14:30:00,8.0,0.0,OnPrem-SQLServer
TE-00000136,TS-0000028,EMP-0003,2026-07-06,PRJ-003,WBS-00116,CC-00025,2026-07-06 06:30:00,2026-07-06 16:33:00,9.55,1.55,OnPrem-SQLServer
TE-00000137,TS-0000028,EMP-0003,2026-07-07,PRJ-003,WBS-00109,CC-00020,2026-07-07 06:15:00,2026-07-07 14:45:00,8.0,0.0,OnPrem-SQLServer
TE-00000138,TS-0000028,EMP-0003,2026-07-08,PRJ-003,WBS-00091,CC-00019,2026-07-08 06:15:00,2026-07-08 14:45:00,8.0,0.0,OnPrem-SQLServer
TE-00000139,TS-0000028,EMP-0003,2026-07-09,PRJ-003,WBS-00127,CC-00026,2026-07-09 06:30:00,2026-07-09 15:00:00,8.0,0.0,OnPrem-SQLServer
TE-00000140,TS-0000028,EMP-0003,2026-07-10,PRJ-003,WBS-00098,CC-00025,2026-07-10 06:30:00,2026-07-10 15:49:48,8.83,0.83,OnPrem-SQLServer
TE-00000141,TS-0000029,EMP-0003,2026-07-20,PRJ-003,WBS-00128,CC-00026,2026-07-20 06:00:00,2026-07-20 14:30:00,8.0,0.0,OnPrem-SQLServer
TE-00000142,TS-0000029,EMP-0003,2026-07-21,PRJ-003,WBS-00096,CC-00022,2026-07-21 06:15:00,2026-07-21 14:45:00,8.0,0.0,OnPrem-SQLServer
TE-00000143,TS-0000029,EMP-0003,2026-07-22,PRJ-003,WBS-00092,CC-00021,2026-07-22 06:00:00,2026-07-22 14:30:00,8.0,0.0,OnPrem-SQLServer
TE-00000144,TS-0000029,EMP-0003,2026-07-23,PRJ-003,WBS-00094,CC-00026,2026-07-23 06:15:00,2026-07-23 14:45:00,8.0,0.0,OnPrem-SQLServer
TE-00000145,TS-0000029,EMP-0003,2026-07-24,PRJ-003,WBS-00088,CC-00027,2026-07-24 06:00:00,2026-07-24 14:30:00,8.0,0.0,OnPrem-SQLServer
TE-00000146,TS-0000030,EMP-0003,2026-07-27,PRJ-003,WBS-00097,CC-00021,2026-07-27 06:00:00,2026-07-27 14:30:00,8.0,0.0,OnPrem-SQLServer
TE-00000147,TS-0000030,EMP-0003,2026-07-28,PRJ-003,WBS-00088,CC-00023,2026-07-28 06:15:00,2026-07-28 14:45:00,8.0,0.0,OnPrem-SQLServer
