wo_material_id,wo_id,supplier_id,material_desc,quantity,unit_cost,total_cost,origin_system
WOM-0000139,WO-000222,SUP-134,Gasket kit,8,3955.03,31640.24,GCP-BigQuery
WOM-0000140,WO-000222,SUP-123,Motor winding kit,4,1654.92,6619.68,GCP-BigQuery
WOM-0000141,WO-000224,SUP-033,Relay module,14,45.39,635.46,GCP-BigQuery
WOM-0000142,WO-000229,SUP-135,Motor winding kit,9,4150.0,37350.0,GCP-BigQuery
WOM-0000143,WO-000236,SUP-144,Coupling,2,853.17,1706.34,GCP-BigQuery
WOM-0000144,WO-000236,SUP-094,Relay module,1,1382.56,1382.56,GCP-BigQuery
WOM-0000145,WO-000237,SUP-117,Control card,9,2032.66,18293.94,GCP-BigQuery
WOM-0000146,WO-000237,SUP-120,Motor winding kit,8,131.73,1053.84,GCP-BigQuery
WOM-0000147,WO-000237,SUP-116,Filter element,3,1356.65,4069.95,GCP-BigQuery
WOM-0000148,WO-000242,SUP-056,Valve actuator,12,2595.05,31140.6,GCP-BigQuery
WOM-0000149,WO-000242,SUP-057,Motor winding kit,9,3690.94,33218.46,GCP-BigQuery
WOM-0000150,WO-000251,SUP-120,Impeller,16,1434.09,22945.44,GCP-BigQuery
WOM-0000151,WO-000251,SUP-091,Pressure transmitter,19,140.14,2662.66,GCP-BigQuery
WOM-0000152,WO-000252,SUP-132,Gasket kit,3,3984.28,11952.84,GCP-BigQuery
WOM-0000153,WO-000252,SUP-117,Coupling,14,2249.74,31496.36,GCP-BigQuery
WOM-0000154,WO-000252,SUP-065,Coupling,1,373.96,373.96,GCP-BigQuery
WOM-0000155,WO-000253,SUP-047,Bearing set,13,823.78,10709.14,GCP-BigQuery
WOM-0000156,WO-000253,SUP-103,Lubricant drum,19,3960.21,75243.99,GCP-BigQuery
WOM-0000157,WO-000253,SUP-040,Valve actuator,18,3387.42,60973.56,GCP-BigQuery
WOM-0000158,WO-000262,SUP-106,Bearing set,3,4146.79,12440.37,GCP-BigQuery
WOM-0000159,WO-000262,SUP-019,Lubricant drum,8,3705.55,29644.4,GCP-BigQuery
WOM-0000160,WO-000266,SUP-078,Bearing set,2,2025.02,4050.04,GCP-BigQuery
WOM-0000161,WO-000270,SUP-074,Impeller,18,994.44,17899.92,GCP-BigQuery
WOM-0000162,WO-000271,SUP-112,Coupling,13,4056.74,52737.62,GCP-BigQuery
WOM-0000163,WO-000271,SUP-135,Impeller,7,4162.55,29137.85,GCP-BigQuery
WOM-0000164,WO-000271,SUP-037,Bearing set,13,3290.95,42782.35,GCP-BigQuery
WOM-0000165,WO-000274,SUP-079,Motor winding kit,6,3465.97,20795.82,GCP-BigQuery
WOM-0000166,WO-000274,SUP-093,Filter element,7,3914.26,27399.82,GCP-BigQuery
WOM-0000167,WO-000274,SUP-133,Gasket kit,2,4007.29,8014.58,GCP-BigQuery
WOM-0000168,WO-000276,SUP-092,Motor winding kit,12,1450.66,17407.92,GCP-BigQuery
WOM-0000169,WO-000276,SUP-117,Gasket kit,3,3484.01,10452.03,GCP-BigQuery
WOM-0000170,WO-000276,SUP-012,Bearing set,4,785.17,3140.68,GCP-BigQuery
WOM-0000171,WO-000279,SUP-114,Relay module,3,1355.14,4065.42,GCP-BigQuery
WOM-0000172,WO-000286,SUP-031,Lubricant drum,11,720.81,7928.91,GCP-BigQuery
WOM-0000173,WO-000286,SUP-065,Motor winding kit,9,3961.78,35656.02,GCP-BigQuery
WOM-0000174,WO-000286,SUP-084,Coupling,13,1142.46,14851.98,GCP-BigQuery
WOM-0000175,WO-000288,SUP-131,Gasket kit,16,930.55,14888.8,GCP-BigQuery
WOM-0000176,WO-000292,SUP-043,Coupling,15,389.18,5837.7,GCP-BigQuery
WOM-0000177,WO-000292,SUP-094,Bearing set,13,3627.09,47152.17,GCP-BigQuery
WOM-0000178,WO-000295,SUP-058,Seal assembly,9,719.74,6477.66,GCP-BigQuery
WOM-0000179,WO-000295,SUP-072,Bearing set,13,2099.85,27298.05,GCP-BigQuery
WOM-0000180,WO-000295,SUP-144,Coupling,17,1337.7,22740.9,GCP-BigQuery
WOM-0000181,WO-000302,SUP-110,Motor winding kit,17,662.38,11260.46,GCP-BigQuery
WOM-0000182,WO-000306,SUP-038,Motor winding kit,1,2953.76,2953.76,GCP-BigQuery
WOM-0000183,WO-000306,SUP-105,Bearing set,5,898.11,4490.55,GCP-BigQuery
WOM-0000184,WO-000308,SUP-030,Valve actuator,5,3216.19,16080.95,GCP-BigQuery
WOM-0000185,WO-000308,SUP-027,Coupling,2,2396.93,4793.86,GCP-BigQuery
WOM-0000186,WO-000309,SUP-134,Gasket kit,3,3027.89,9083.67,GCP-BigQuery
WOM-0000187,WO-000312,SUP-019,Lubricant drum,8,3168.56,25348.48,GCP-BigQuery
WOM-0000188,WO-000312,SUP-095,Impeller,11,2625.02,28875.22,GCP-BigQuery
WOM-0000189,WO-000313,SUP-123,Seal assembly,16,2358.64,37738.24,GCP-BigQuery
WOM-0000190,WO-000314,SUP-032,Motor winding kit,12,1267.55,15210.6,GCP-BigQuery
WOM-0000191,WO-000318,SUP-055,Filter element,11,2640.83,29049.13,GCP-BigQuery
WOM-0000192,WO-000318,SUP-132,Pressure transmitter,1,342.03,342.03,GCP-BigQuery
WOM-0000193,WO-000323,SUP-032,Control card,19,2982.19,56661.61,GCP-BigQuery
WOM-0000194,WO-000323,SUP-130,Gasket kit,2,1119.57,2239.14,GCP-BigQuery
WOM-0000195,WO-000323,SUP-109,Impeller,18,2442.05,43956.9,GCP-BigQuery
WOM-0000196,WO-000325,SUP-032,Lubricant drum,19,4065.14,77237.66,GCP-BigQuery
WOM-0000197,WO-000327,SUP-073,Coupling,12,2438.5,29262.0,GCP-BigQuery
WOM-0000198,WO-000331,SUP-113,Motor winding kit,6,1893.17,11359.02,GCP-BigQuery
WOM-0000199,WO-000331,SUP-114,Seal assembly,13,1551.62,20171.06,GCP-BigQuery
WOM-0000200,WO-000331,SUP-013,Relay module,18,449.81,8096.58,GCP-BigQuery
WOM-0000201,WO-000334,SUP-080,Motor winding kit,19,3006.92,57131.48,GCP-BigQuery
WOM-0000202,WO-000334,SUP-091,Motor winding kit,7,1861.95,13033.65,GCP-BigQuery
WOM-0000203,WO-000334,SUP-035,Motor winding kit,4,2222.49,8889.96,GCP-BigQuery
WOM-0000204,WO-000335,SUP-104,Lubricant drum,17,2977.83,50623.11,GCP-BigQuery
WOM-0000205,WO-000336,SUP-111,Seal assembly,18,3982.76,71689.68,GCP-BigQuery
WOM-0000206,WO-000336,SUP-086,Impeller,13,4046.11,52599.43,GCP-BigQuery
WOM-0000207,WO-000336,SUP-121,Pressure transmitter,6,4197.02,25182.12,GCP-BigQuery
WOM-0000208,WO-000342,SUP-138,Relay module,3,3494.24,10482.72,GCP-BigQuery
WOM-0000209,WO-000342,SUP-017,Control card,3,1288.87,3866.61,GCP-BigQuery
WOM-0000210,WO-000352,SUP-004,Bearing set,6,2190.94,13145.64,GCP-BigQuery
WOM-0000211,WO-000356,SUP-032,Pressure transmitter,4,1155.68,4622.72,GCP-BigQuery
WOM-0000212,WO-000356,SUP-096,Seal assembly,16,1964.81,31436.96,GCP-BigQuery
WOM-0000213,WO-000356,SUP-091,Pressure transmitter,7,3785.36,26497.52,GCP-BigQuery
WOM-0000214,WO-000358,SUP-090,Filter element,19,2989.54,56801.26,GCP-BigQuery
WOM-0000215,WO-000358,SUP-145,Filter element,18,3764.65,67763.7,GCP-BigQuery
WOM-0000216,WO-000365,SUP-077,Motor winding kit,14,824.71,11545.94,GCP-BigQuery
WOM-0000217,WO-000365,SUP-106,Lubricant drum,12,1569.4,18832.8,GCP-BigQuery
WOM-0000218,WO-000365,SUP-143,Seal assembly,1,712.97,712.97,GCP-BigQuery
WOM-0000219,WO-000366,SUP-005,Relay module,10,193.93,1939.3,GCP-BigQuery
WOM-0000220,WO-000366,SUP-027,Control card,9,1922.37,17301.33,GCP-BigQuery
WOM-0000221,WO-000366,SUP-101,Gasket kit,3,2051.31,6153.93,GCP-BigQuery
WOM-0000222,WO-000367,SUP-016,Relay module,6,287.67,1726.02,GCP-BigQuery
WOM-0000223,WO-000372,SUP-130,Impeller,1,3183.05,3183.05,GCP-BigQuery
WOM-0000224,WO-000375,SUP-001,Bearing set,14,2726.8,38175.2,GCP-BigQuery
WOM-0000225,WO-000375,SUP-140,Impeller,6,1069.17,6415.02,GCP-BigQuery
WOM-0000226,WO-000376,SUP-089,Control card,1,3988.7,3988.7,GCP-BigQuery
WOM-0000227,WO-000376,SUP-060,Valve actuator,1,362.9,362.9,GCP-BigQuery
WOM-0000228,WO-000376,SUP-135,Motor winding kit,8,4084.02,32672.16,GCP-BigQuery
WOM-0000229,WO-000381,SUP-072,Coupling,6,1553.23,9319.38,GCP-BigQuery
WOM-0000230,WO-000382,SUP-088,Relay module,3,2931.75,8795.25,GCP-BigQuery
WOM-0000231,WO-000382,SUP-136,Seal assembly,15,3537.92,53068.8,GCP-BigQuery
WOM-0000232,WO-000382,SUP-061,Impeller,11,3318.37,36502.07,GCP-BigQuery
WOM-0000233,WO-000389,SUP-011,Impeller,8,877.22,7017.76,GCP-BigQuery
WOM-0000234,WO-000389,SUP-140,Valve actuator,17,3374.13,57360.21,GCP-BigQuery
WOM-0000235,WO-000389,SUP-070,Bearing set,6,4000.03,24000.18,GCP-BigQuery
WOM-0000236,WO-000397,SUP-131,Relay module,12,3335.8,40029.6,GCP-BigQuery
WOM-0000237,WO-000399,SUP-068,Bearing set,8,1923.9,15391.2,GCP-BigQuery
WOM-0000238,WO-000399,SUP-130,Motor winding kit,12,1435.93,17231.16,GCP-BigQuery
WOM-0000239,WO-000399,SUP-140,Motor winding kit,4,1733.4,6933.6,GCP-BigQuery
WOM-0000240,WO-000407,SUP-136,Valve actuator,4,3965.29,15861.16,GCP-BigQuery
WOM-0000241,WO-000410,SUP-129,Motor winding kit,4,4180.16,16720.64,GCP-BigQuery
WOM-0000242,WO-000410,SUP-033,Bearing set,18,406.01,7308.18,GCP-BigQuery
WOM-0000243,WO-000410,SUP-096,Gasket kit,4,1059.33,4237.32,GCP-BigQuery
WOM-0000244,WO-000411,SUP-091,Filter element,3,1602.03,4806.09,GCP-BigQuery
WOM-0000245,WO-000411,SUP-069,Coupling,12,3486.95,41843.4,GCP-BigQuery
WOM-0000246,WO-000417,SUP-037,Relay module,1,2629.5,2629.5,GCP-BigQuery
WOM-0000247,WO-000418,SUP-012,Motor winding kit,10,2555.67,25556.7,GCP-BigQuery
WOM-0000248,WO-000419,SUP-141,Pressure transmitter,18,3331.33,59963.94,GCP-BigQuery
WOM-0000249,WO-000419,SUP-039,Bearing set,2,1725.49,3450.98,GCP-BigQuery
WOM-0000250,WO-000419,SUP-138,Gasket kit,5,3126.2,15631.0,GCP-BigQuery
WOM-0000251,WO-000421,SUP-043,Valve actuator,1,3922.53,3922.53,GCP-BigQuery
WOM-0000252,WO-000421,SUP-072,Filter element,18,3112.37,56022.66,GCP-BigQuery
WOM-0000253,WO-000421,SUP-008,Lubricant drum,17,143.2,2434.4,GCP-BigQuery
WOM-0000254,WO-000426,SUP-120,Filter element,13,3984.84,51802.92,GCP-BigQuery
WOM-0000255,WO-000428,SUP-009,Gasket kit,12,4154.27,49851.24,GCP-BigQuery
WOM-0000256,WO-000429,SUP-087,Gasket kit,14,2372.08,33209.12,GCP-BigQuery
WOM-0000257,WO-000429,SUP-090,Control card,5,799.01,3995.05,GCP-BigQuery
WOM-0000258,WO-000429,SUP-038,Coupling,9,2352.68,21174.12,GCP-BigQuery
WOM-0000259,WO-000433,SUP-080,Lubricant drum,6,3996.65,23979.9,GCP-BigQuery
WOM-0000260,WO-000435,SUP-001,Impeller,9,3101.66,27914.94,GCP-BigQuery
WOM-0000261,WO-000436,SUP-001,Pressure transmitter,9,2976.49,26788.41,GCP-BigQuery
WOM-0000262,WO-000436,SUP-117,Filter element,13,2803.07,36439.91,GCP-BigQuery
WOM-0000263,WO-000438,SUP-048,Valve actuator,11,1022.39,11246.29,GCP-BigQuery
WOM-0000264,WO-000438,SUP-078,Valve actuator,13,3463.63,45027.19,GCP-BigQuery
WOM-0000265,WO-000443,SUP-148,Valve actuator,4,3759.39,15037.56,GCP-BigQuery
WOM-0000266,WO-000443,SUP-142,Gasket kit,5,3825.47,19127.35,GCP-BigQuery
WOM-0000267,WO-000448,SUP-091,Gasket kit,9,4132.87,37195.83,GCP-BigQuery
WOM-0000268,WO-000448,SUP-126,Gasket kit,7,2090.51,14633.57,GCP-BigQuery
WOM-0000269,WO-000451,SUP-133,Gasket kit,13,3653.52,47495.76,GCP-BigQuery
WOM-0000270,WO-000454,SUP-051,Impeller,15,2258.06,33870.9,GCP-BigQuery
WOM-0000271,WO-000457,SUP-123,Pressure transmitter,1,748.07,748.07,GCP-BigQuery
WOM-0000272,WO-000459,SUP-011,Valve actuator,7,765.54,5358.78,GCP-BigQuery
WOM-0000273,WO-000459,SUP-052,Gasket kit,3,2612.32,7836.96,GCP-BigQuery
WOM-0000274,WO-000459,SUP-124,Control card,10,3392.8,33928.0,GCP-BigQuery
WOM-0000275,WO-000463,SUP-143,Lubricant drum,11,1191.75,13109.25,GCP-BigQuery
WOM-0000276,WO-000464,SUP-123,Coupling,19,3539.99,67259.81,GCP-BigQuery
WOM-0000277,WO-000464,SUP-008,Bearing set,19,4168.83,79207.77,GCP-BigQuery
WOM-0000278,WO-000465,SUP-027,Gasket kit,6,549.29,3295.74,GCP-BigQuery
WOM-0000279,WO-000469,SUP-072,Pressure transmitter,1,4134.16,4134.16,GCP-BigQuery
WOM-0000280,WO-000472,SUP-110,Motor winding kit,9,3058.45,27526.05,GCP-BigQuery
WOM-0000281,WO-000472,SUP-070,Control card,16,2164.23,34627.68,GCP-BigQuery
WOM-0000282,WO-000472,SUP-079,Lubricant drum,1,2115.14,2115.14,GCP-BigQuery
WOM-0000283,WO-000474,SUP-084,Filter element,6,2734.35,16406.1,GCP-BigQuery
WOM-0000284,WO-000474,SUP-064,Pressure transmitter,15,689.61,10344.15,GCP-BigQuery
WOM-0000285,WO-000475,SUP-061,Filter element,19,819.1,15562.9,GCP-BigQuery
WOM-0000286,WO-000475,SUP-012,Lubricant drum,14,1845.84,25841.76,GCP-BigQuery
WOM-0000287,WO-000475,SUP-132,Gasket kit,13,3195.83,41545.79,GCP-BigQuery
WOM-0000288,WO-000476,SUP-144,Relay module,18,4018.23,72328.14,GCP-BigQuery
WOM-0000289,WO-000476,SUP-088,Relay module,14,3198.62,44780.68,GCP-BigQuery
