task_id,wo_id,task_seq,discipline,description,task_status,planned_hours,actual_hours,origin_system
WOT-0000031,WO-000011,2,I&C,Cold camera sit environmental though,Completed,17.64,16.76,GCP-BigQuery
WOT-0000032,WO-000011,3,Electrical,Friend investment model,Completed,14.38,10.53,GCP-BigQuery
WOT-0000033,WO-000012,1,Electrical,Republican office baby lawyer growth,Open,27.91,,GCP-BigQuery
WOT-0000034,WO-000012,2,Piping,Teacher cold church significant thus purpose boy,Open,16.6,,GCP-BigQuery
WOT-0000035,WO-000012,3,Electrical,Able teach activity animal hair turn condition,Completed,23.0,,GCP-BigQuery
WOT-0000036,WO-000013,1,Electrical,Need trial scientist,Completed,8.21,7.23,GCP-BigQuery
WOT-0000037,WO-000013,2,Structural,Different eat trouble floor step number,Completed,33.09,43.67,GCP-BigQuery
WOT-0000038,WO-000013,3,Electrical,Maybe top conference source,Completed,14.59,12.41,GCP-BigQuery
WOT-0000039,WO-000014,1,Piping,West attention let,In Progress,19.8,,GCP-BigQuery
WOT-0000040,WO-000014,2,Mechanical,Similar financial beat lead hard,In Progress,38.48,,GCP-BigQuery
WOT-0000041,WO-000014,3,Mechanical,Nor fight performance less option,Completed,15.43,,GCP-BigQuery
WOT-0000042,WO-000015,1,Piping,Young simply run national somebody character usually,Completed,20.6,,GCP-BigQuery
WOT-0000043,WO-000015,2,Structural,Do get style,Completed,2.23,,GCP-BigQuery
WOT-0000044,WO-000016,1,Piping,Week ability price,Completed,38.12,51.62,GCP-BigQuery
WOT-0000045,WO-000017,1,Structural,Billion morning draw man art,Completed,24.84,24.49,GCP-BigQuery
WOT-0000046,WO-000017,2,Structural,Republican behavior TV today,Completed,18.83,19.61,GCP-BigQuery
WOT-0000047,WO-000017,3,Piping,Including time learn security oil measure PM,Completed,29.8,23.05,GCP-BigQuery
WOT-0000048,WO-000018,1,Structural,Avoid nothing itself who door end,Open,9.76,,GCP-BigQuery
WOT-0000049,WO-000018,2,Structural,Unit hotel story for laugh do,Open,7.91,,GCP-BigQuery
WOT-0000050,WO-000018,3,Mechanical,Carry show board black last,Open,32.85,,GCP-BigQuery
WOT-0000051,WO-000019,1,Electrical,Image movie who debate final enter,Completed,30.07,,GCP-BigQuery
WOT-0000052,WO-000019,2,Electrical,Bed space fight relate,Completed,12.28,,GCP-BigQuery
WOT-0000053,WO-000019,3,Piping,American structure foreign before eat green message quality,In Progress,15.38,,GCP-BigQuery
WOT-0000054,WO-000019,4,Mechanical,Star community weight take new,Open,18.93,,GCP-BigQuery
WOT-0000055,WO-000020,1,I&C,Economic left sound cause activity store work,Completed,30.41,25.53,GCP-BigQuery
WOT-0000056,WO-000021,1,Structural,Cup hundred rather visit,Completed,22.16,18.67,GCP-BigQuery
WOT-0000057,WO-000021,2,I&C,Old else spend against,Completed,26.55,19.93,GCP-BigQuery
WOT-0000058,WO-000021,3,Mechanical,Cup position speak begin,Completed,28.04,22.11,GCP-BigQuery
WOT-0000059,WO-000021,4,Piping,Business walk anything under item right,Completed,6.04,4.49,GCP-BigQuery
WOT-0000060,WO-000022,1,Mechanical,Ahead raise common Democrat cost evidence third,Completed,32.77,26.65,GCP-BigQuery
WOT-0000061,WO-000022,2,Piping,Pass pay positive,Completed,21.7,16.87,GCP-BigQuery
WOT-0000062,WO-000022,3,Piping,Include nearly article evidence case current this,Completed,26.04,37.9,GCP-BigQuery
WOT-0000063,WO-000023,1,Structural,Eat yes myself affect him require look,Completed,9.89,,GCP-BigQuery
WOT-0000064,WO-000024,1,Mechanical,General not focus establish ago others ahead,Completed,9.96,10.57,GCP-BigQuery
WOT-0000065,WO-000025,1,I&C,Around yard morning short yourself,Completed,39.96,,GCP-BigQuery
WOT-0000066,WO-000025,2,Mechanical,Beyond prevent entire staff,In Progress,2.01,,GCP-BigQuery
WOT-0000067,WO-000025,3,Electrical,Shake way offer work,Open,15.91,,GCP-BigQuery
WOT-0000068,WO-000026,1,Piping,Great stuff suddenly compare or south,Completed,36.68,29.88,GCP-BigQuery
WOT-0000069,WO-000026,2,Structural,Trial agreement red way nor none,Completed,17.66,22.9,GCP-BigQuery
WOT-0000070,WO-000026,3,Structural,Student special wife my compare,Completed,13.88,12.35,GCP-BigQuery
WOT-0000071,WO-000026,4,Piping,Bed discussion despite,Completed,14.29,19.84,GCP-BigQuery
WOT-0000072,WO-000027,1,Electrical,Long forward pass southern future concern sort,Open,38.64,,GCP-BigQuery
WOT-0000073,WO-000027,2,Electrical,Arrive challenge relate center book money,In Progress,2.89,,GCP-BigQuery
WOT-0000074,WO-000028,1,Piping,Whether health walk how big few,Completed,8.51,6.72,GCP-BigQuery
WOT-0000075,WO-000028,2,I&C,Wish run join police,Completed,25.79,36.1,GCP-BigQuery
WOT-0000076,WO-000029,1,Electrical,Power company why really up skin development,Completed,8.4,8.57,GCP-BigQuery
WOT-0000077,WO-000029,2,Mechanical,Sport her safe family concern ability reduce of,Completed,31.87,24.89,GCP-BigQuery
WOT-0000078,WO-000029,3,I&C,Allow own TV whose determine not view,Completed,22.41,24.08,GCP-BigQuery
WOT-0000079,WO-000030,1,Electrical,Former back get floor,Open,6.19,,GCP-BigQuery
WOT-0000080,WO-000030,2,Structural,Start prove role from,In Progress,8.69,,GCP-BigQuery
WOT-0000081,WO-000030,3,Mechanical,Enter economic attack,In Progress,7.53,,GCP-BigQuery
WOT-0000082,WO-000031,1,Electrical,Skin result answer just information,Open,18.86,,GCP-BigQuery
WOT-0000083,WO-000031,2,I&C,This manage her national,Completed,18.32,,GCP-BigQuery
WOT-0000084,WO-000031,3,Structural,Stock small official serve,Completed,12.7,,GCP-BigQuery
WOT-0000085,WO-000032,1,Electrical,Class available suffer far five,Completed,9.53,13.95,GCP-BigQuery
WOT-0000086,WO-000032,2,Piping,Avoid color heart rule,Completed,32.8,45.04,GCP-BigQuery
WOT-0000087,WO-000032,3,Electrical,Walk within full world throw relate issue,Completed,21.71,21.22,GCP-BigQuery
WOT-0000088,WO-000032,4,Electrical,Parent its approach former,Completed,33.91,31.81,GCP-BigQuery
WOT-0000089,WO-000033,1,I&C,Important never understand music produce,Completed,25.05,17.56,GCP-BigQuery
WOT-0000090,WO-000033,2,Electrical,Down anyone occur style child,Completed,38.55,43.93,GCP-BigQuery
WOT-0000091,WO-000033,3,I&C,About because station person lose best,Completed,24.74,28.22,GCP-BigQuery
WOT-0000092,WO-000033,4,I&C,Color factor bank such final,Completed,13.02,19.24,GCP-BigQuery
WOT-0000093,WO-000034,1,Piping,Likely thus enter politics hold he,Completed,27.5,29.25,GCP-BigQuery
WOT-0000094,WO-000034,2,Structural,Hard knowledge enjoy let difficult environmental,Completed,12.94,12.68,GCP-BigQuery
WOT-0000095,WO-000034,3,Mechanical,Character recent benefit property,Completed,8.69,10.69,GCP-BigQuery
WOT-0000096,WO-000035,1,Structural,Including series dinner article hit mission whole,Completed,13.5,13.05,GCP-BigQuery
WOT-0000097,WO-000035,2,Electrical,Of dog federal house take alone number,Completed,27.47,39.66,GCP-BigQuery
WOT-0000098,WO-000036,1,Piping,Song quality per build serious common worker,Completed,15.83,13.29,GCP-BigQuery
WOT-0000099,WO-000037,1,Piping,Speak call interest write itself,Open,37.44,,GCP-BigQuery
WOT-0000100,WO-000038,1,Piping,Challenge organization floor road southern beautiful news need,Completed,7.93,6.79,GCP-BigQuery
WOT-0000101,WO-000038,2,Mechanical,Mind true actually red onto,Completed,35.41,25.32,GCP-BigQuery
WOT-0000102,WO-000038,3,Mechanical,Both change note old who beyond,Completed,21.05,29.26,GCP-BigQuery
WOT-0000103,WO-000039,1,Electrical,None big experience movie,Open,6.87,,GCP-BigQuery
WOT-0000104,WO-000039,2,Structural,There enough pressure occur list common,Open,27.72,,GCP-BigQuery
WOT-0000105,WO-000039,3,Structural,Century participant really although threat former,In Progress,30.58,,GCP-BigQuery
WOT-0000106,WO-000039,4,Piping,Any little environmental head full,In Progress,16.61,,GCP-BigQuery
WOT-0000107,WO-000040,1,Piping,Financial successful teach range win,Completed,29.24,42.71,GCP-BigQuery
WOT-0000108,WO-000040,2,Piping,Care wind kitchen stay especially,Completed,23.61,22.09,GCP-BigQuery
WOT-0000109,WO-000041,1,I&C,Painting become kid tree imagine machine,Completed,25.32,26.37,GCP-BigQuery
WOT-0000110,WO-000041,2,Electrical,Test start middle city find medical career,Completed,32.06,22.69,GCP-BigQuery
WOT-0000111,WO-000041,3,I&C,These ahead cover strategy student economic lead,Completed,23.65,28.55,GCP-BigQuery
WOT-0000112,WO-000042,1,Structural,Relate ever statement measure play buy,Open,17.72,,GCP-BigQuery
WOT-0000113,WO-000042,2,I&C,Drop major land,Completed,20.05,,GCP-BigQuery
WOT-0000114,WO-000042,3,I&C,Only glass clear thus see read expect,Open,4.56,,GCP-BigQuery
WOT-0000115,WO-000043,1,I&C,Anyone take sister Democrat determine different,Completed,36.6,41.91,GCP-BigQuery
WOT-0000116,WO-000043,2,I&C,Especially important after sister should,Completed,4.19,4.93,GCP-BigQuery
WOT-0000117,WO-000043,3,Electrical,Listen car community,Completed,18.31,13.51,GCP-BigQuery
WOT-0000118,WO-000043,4,Piping,Difference part wall,Completed,29.01,26.97,GCP-BigQuery
WOT-0000119,WO-000044,1,Piping,Interest heavy give edge level,Completed,25.83,,GCP-BigQuery
WOT-0000120,WO-000044,2,Electrical,Station however bill memory production successful hear,Open,18.74,,GCP-BigQuery
WOT-0000121,WO-000044,3,Structural,Participant fear blue as write political technology end,Completed,25.01,,GCP-BigQuery
WOT-0000122,WO-000044,4,Mechanical,Could military drive arm tax,Open,18.83,,GCP-BigQuery
WOT-0000123,WO-000045,1,Mechanical,Identify floor cause agent market fast trade identify,Completed,26.38,18.69,GCP-BigQuery
WOT-0000124,WO-000045,2,Piping,On yes staff,Completed,25.09,32.32,GCP-BigQuery
WOT-0000125,WO-000046,1,Piping,Risk develop movement size trade public,In Progress,4.24,,GCP-BigQuery
WOT-0000126,WO-000046,2,Electrical,Feel color price next family likely scientist,Completed,18.01,,GCP-BigQuery
WOT-0000127,WO-000046,3,Mechanical,Several consumer quite friend become great season,Open,17.99,,GCP-BigQuery
WOT-0000128,WO-000047,1,I&C,Inside thought he one less,Completed,6.3,,GCP-BigQuery
WOT-0000129,WO-000048,1,Electrical,Like term on want,In Progress,29.03,,GCP-BigQuery
WOT-0000130,WO-000048,2,Mechanical,Line create build quite,Open,23.38,,GCP-BigQuery
WOT-0000131,WO-000048,3,Electrical,Fear approach take case customer important notice,In Progress,32.28,,GCP-BigQuery
WOT-0000132,WO-000049,1,Electrical,Century television Congress ball forward would finish,Completed,16.27,14.35,GCP-BigQuery
WOT-0000133,WO-000049,2,Piping,Above event seven collection,Completed,24.06,18.4,GCP-BigQuery
WOT-0000134,WO-000049,3,Electrical,Majority shake because pass,Completed,18.51,26.05,GCP-BigQuery
WOT-0000135,WO-000049,4,Mechanical,Idea whole himself also current health,Completed,18.91,22.17,GCP-BigQuery
WOT-0000136,WO-000050,1,Electrical,Throughout series most,Completed,12.97,11.19,GCP-BigQuery
WOT-0000137,WO-000051,1,Structural,Quality phone eat,Completed,32.38,26.12,GCP-BigQuery
WOT-0000138,WO-000051,2,Piping,Fine bill me fill assume animal,Completed,30.38,21.64,GCP-BigQuery
WOT-0000139,WO-000051,3,I&C,Lay minute model its rather,Completed,22.08,17.75,GCP-BigQuery
WOT-0000140,WO-000052,1,Electrical,Garden top grow could,Completed,28.45,25.77,GCP-BigQuery
WOT-0000141,WO-000053,1,Structural,Affect difference world deep against mean,Completed,26.97,36.84,GCP-BigQuery
WOT-0000142,WO-000053,2,I&C,Hand practice also theory,Completed,25.38,25.11,GCP-BigQuery
WOT-0000143,WO-000053,3,Structural,Side perhaps order answer blue,Completed,22.87,25.44,GCP-BigQuery
WOT-0000144,WO-000054,1,Structural,Answer break know,Completed,8.27,9.61,GCP-BigQuery
WOT-0000145,WO-000054,2,Electrical,Natural listen check receive,Completed,30.67,42.75,GCP-BigQuery
WOT-0000146,WO-000054,3,Electrical,Act inside big minute performance red industry together,Completed,16.17,13.56,GCP-BigQuery
WOT-0000147,WO-000055,1,I&C,Responsibility brother box blood cup current enjoy,Completed,17.98,12.81,GCP-BigQuery
WOT-0000148,WO-000055,2,Piping,Win group important civil nature travel read,Completed,4.65,6.12,GCP-BigQuery
WOT-0000149,WO-000055,3,Mechanical,Former able public trade structure protect chance,Completed,35.9,40.8,GCP-BigQuery
WOT-0000150,WO-000056,1,Mechanical,Single avoid rich toward,Completed,22.31,30.88,GCP-BigQuery
WOT-0000151,WO-000057,1,Piping,Lead with enough anyone spend,Completed,13.06,10.44,GCP-BigQuery
WOT-0000152,WO-000058,1,Structural,System growth quality,Completed,34.46,25.6,GCP-BigQuery
WOT-0000153,WO-000058,2,Mechanical,School believe serve animal system professional,Completed,33.3,25.0,GCP-BigQuery
WOT-0000154,WO-000058,3,Mechanical,Forget thus western environmental,Completed,30.83,34.8,GCP-BigQuery
WOT-0000155,WO-000059,1,I&C,Head garden box hundred,Completed,36.35,49.85,GCP-BigQuery
WOT-0000156,WO-000060,1,Mechanical,Even history surface son power someone both,In Progress,25.41,,GCP-BigQuery
WOT-0000157,WO-000060,2,Piping,Word such billion treat,Open,22.92,,GCP-BigQuery
WOT-0000158,WO-000060,3,Structural,Soon question consider here grow agreement range,In Progress,28.07,,GCP-BigQuery
WOT-0000159,WO-000060,4,Mechanical,Low maintain thought key,In Progress,9.54,,GCP-BigQuery
WOT-0000160,WO-000061,1,Mechanical,Energy fire relate question,Completed,39.88,31.11,GCP-BigQuery
WOT-0000161,WO-000061,2,Mechanical,Rich difference what their mind read peace,Completed,31.01,23.3,GCP-BigQuery
WOT-0000162,WO-000061,3,Piping,Product eat generation put his stuff,Completed,4.61,6.17,GCP-BigQuery
WOT-0000163,WO-000061,4,Structural,Throughout party activity various measure light many,Completed,35.5,43.32,GCP-BigQuery
WOT-0000164,WO-000062,1,Electrical,Avoid man drive wife,Completed,36.44,34.22,GCP-BigQuery
WOT-0000165,WO-000062,2,I&C,Medical nearly her,Completed,12.47,15.52,GCP-BigQuery
WOT-0000166,WO-000062,3,Structural,Bad know of because material,Completed,36.04,29.72,GCP-BigQuery
WOT-0000167,WO-000062,4,Structural,Budget market president bill include news,Completed,38.19,47.14,GCP-BigQuery
WOT-0000168,WO-000063,1,Mechanical,Stay social white,Completed,36.73,46.86,GCP-BigQuery
WOT-0000169,WO-000063,2,Electrical,Three none pressure lay future,Completed,26.33,35.03,GCP-BigQuery
WOT-0000170,WO-000063,3,Electrical,Staff such forward,Completed,36.08,27.21,GCP-BigQuery
WOT-0000171,WO-000064,1,Structural,Outside respond guy laugh best probably able great,Completed,8.96,,GCP-BigQuery
WOT-0000172,WO-000064,2,Mechanical,Natural hear blood to manage,Completed,38.81,,GCP-BigQuery
WOT-0000173,WO-000064,3,Piping,Blood particularly could us hotel lead,In Progress,3.4,,GCP-BigQuery
WOT-0000174,WO-000065,1,Piping,Response blue increase unit study,Completed,30.61,23.53,GCP-BigQuery
WOT-0000175,WO-000065,2,Electrical,But through leader operation mean white above save,Completed,25.16,27.54,GCP-BigQuery
WOT-0000176,WO-000066,1,Mechanical,Very stuff lot meet TV concern official,Open,11.11,,GCP-BigQuery
WOT-0000177,WO-000067,1,Mechanical,Billion price paper focus,In Progress,36.61,,GCP-BigQuery
WOT-0000178,WO-000067,2,Piping,Industry participant realize eat huge garden,Completed,37.41,,GCP-BigQuery
WOT-0000179,WO-000067,3,I&C,Laugh card include record security,Completed,17.71,,GCP-BigQuery
WOT-0000180,WO-000068,1,Piping,Successful natural finish say network,Completed,25.42,32.97,GCP-BigQuery
WOT-0000181,WO-000068,2,Electrical,Cut person fact generation public,Completed,32.45,45.45,GCP-BigQuery
WOT-0000182,WO-000069,1,Electrical,Mean reason follow break,Open,22.03,,GCP-BigQuery
WOT-0000183,WO-000069,2,Electrical,No old wall report purpose throw,Completed,3.43,,GCP-BigQuery
WOT-0000184,WO-000069,3,Piping,Experience suggest space mission agent certainly prove,In Progress,22.86,,GCP-BigQuery
WOT-0000185,WO-000069,4,Piping,Environment size worker raise chair,In Progress,5.33,,GCP-BigQuery
WOT-0000186,WO-000070,1,Mechanical,Real far send allow,In Progress,39.79,,GCP-BigQuery
WOT-0000187,WO-000070,2,I&C,Bill test science ten score night down,Open,34.91,,GCP-BigQuery
WOT-0000188,WO-000070,3,Structural,Realize another high indicate small,Completed,30.03,,GCP-BigQuery
WOT-0000189,WO-000070,4,Piping,Whole approach season data than team,Completed,32.96,,GCP-BigQuery
WOT-0000190,WO-000071,1,I&C,Stop treatment relate positive sense national,Completed,33.16,41.53,GCP-BigQuery
WOT-0000191,WO-000071,2,Mechanical,Cultural right cover large work avoid while same,Completed,7.03,9.27,GCP-BigQuery
WOT-0000192,WO-000071,3,Mechanical,Help investment news candidate,Completed,25.77,28.74,GCP-BigQuery
WOT-0000193,WO-000071,4,I&C,Suffer accept letter visit always up others similar,Completed,36.48,37.09,GCP-BigQuery
WOT-0000194,WO-000072,1,Piping,Past product make of group six fish detail,Completed,17.73,23.19,GCP-BigQuery
WOT-0000195,WO-000072,2,Piping,Minute skill city myself,Completed,23.45,25.95,GCP-BigQuery
WOT-0000196,WO-000072,3,Structural,Begin determine degree forward guess despite,Completed,29.62,40.41,GCP-BigQuery
WOT-0000197,WO-000073,1,Electrical,Most you statement wonder across protect knowledge toward,Completed,4.38,,GCP-BigQuery
WOT-0000198,WO-000073,2,Piping,Truth during always those high someone box either,Open,21.52,,GCP-BigQuery
WOT-0000199,WO-000073,3,I&C,Agency might side method meet,Completed,27.8,,GCP-BigQuery
WOT-0000200,WO-000074,1,I&C,Analysis together court message way cold what,Open,32.16,,GCP-BigQuery
WOT-0000201,WO-000074,2,Electrical,Mouth phone decision picture defense rate structure,In Progress,9.67,,GCP-BigQuery
WOT-0000202,WO-000075,1,I&C,Mrs reflect wish simple position,Completed,17.58,24.2,GCP-BigQuery
WOT-0000203,WO-000075,2,Piping,Section child learn forward,Completed,29.39,24.67,GCP-BigQuery
WOT-0000204,WO-000076,1,Electrical,Available concern edge audience,Completed,8.02,10.02,GCP-BigQuery
WOT-0000205,WO-000076,2,Electrical,Treat imagine later identify first,Completed,11.43,15.24,GCP-BigQuery
WOT-0000206,WO-000077,1,Structural,Pull movement political peace series one,Open,27.5,,GCP-BigQuery
WOT-0000207,WO-000077,2,Electrical,Group me face rate,In Progress,14.65,,GCP-BigQuery
WOT-0000208,WO-000077,3,Electrical,Beat she join house produce listen mouth carry,Open,22.88,,GCP-BigQuery
WOT-0000209,WO-000078,1,Structural,Someone support far plant fear thought,Completed,21.48,23.17,GCP-BigQuery
WOT-0000210,WO-000078,2,Electrical,Whatever action themselves center among of,Completed,9.54,9.22,GCP-BigQuery
WOT-0000211,WO-000078,3,Electrical,Mr water fight security tough gas,Completed,12.29,14.18,GCP-BigQuery
WOT-0000212,WO-000078,4,Mechanical,Town surface central contain pattern education,Completed,19.57,28.43,GCP-BigQuery
WOT-0000213,WO-000079,1,Piping,Consider son system surface,Open,10.34,,GCP-BigQuery
WOT-0000214,WO-000079,2,Piping,Leave near fact attack better rise maintain,Completed,31.84,,GCP-BigQuery
WOT-0000215,WO-000079,3,Mechanical,Ground provide doctor expect attorney cover,Open,34.82,,GCP-BigQuery
WOT-0000216,WO-000079,4,I&C,Late pattern figure once not hair first,Open,11.55,,GCP-BigQuery
WOT-0000217,WO-000080,1,Structural,Collection finish size Republican political everybody,Completed,24.09,26.77,GCP-BigQuery
WOT-0000218,WO-000080,2,Structural,Care run there leg grow figure,Completed,23.07,27.25,GCP-BigQuery
WOT-0000219,WO-000080,3,Electrical,Board population bank exactly step through cultural,Completed,3.17,3.85,GCP-BigQuery
WOT-0000220,WO-000081,1,Piping,Baby away affect medical all old if operation,In Progress,27.57,,GCP-BigQuery
WOT-0000221,WO-000081,2,Electrical,Necessary myself your,In Progress,33.4,,GCP-BigQuery
WOT-0000222,WO-000081,3,Piping,President chance hotel through operation tax card,Open,6.88,,GCP-BigQuery
WOT-0000223,WO-000082,1,I&C,Member however maybe production summer southern pass,Open,26.21,,GCP-BigQuery
WOT-0000224,WO-000083,1,Mechanical,Serious cell city not,Open,7.89,,GCP-BigQuery
WOT-0000225,WO-000083,2,Mechanical,Process whose save low grow despite maintain,In Progress,20.16,,GCP-BigQuery
WOT-0000226,WO-000083,3,Piping,Enough doctor protect military,Open,8.7,,GCP-BigQuery
WOT-0000227,WO-000084,1,Electrical,Hold truth thing always possible billion,Open,12.68,,GCP-BigQuery
WOT-0000228,WO-000084,2,I&C,Plant event score official now heavy her,Completed,10.49,,GCP-BigQuery
WOT-0000229,WO-000084,3,Electrical,President structure might heavy trade might good test,In Progress,38.47,,GCP-BigQuery
WOT-0000230,WO-000085,1,Mechanical,Society thought according think key discover method,In Progress,11.9,,GCP-BigQuery
WOT-0000231,WO-000085,2,Mechanical,Deep cost gun response brother,Completed,34.02,,GCP-BigQuery
WOT-0000232,WO-000086,1,Structural,Increase form box push look,In Progress,38.73,,GCP-BigQuery
WOT-0000233,WO-000087,1,I&C,Claim street against amount of claim picture always,In Progress,34.2,,GCP-BigQuery
WOT-0000234,WO-000087,2,Mechanical,Chair coach two might if wide point,Open,31.53,,GCP-BigQuery
WOT-0000235,WO-000088,1,I&C,Water describe paper likely loss,Completed,33.95,25.42,GCP-BigQuery
WOT-0000236,WO-000089,1,I&C,Store over some star consider,Open,33.66,,GCP-BigQuery
WOT-0000237,WO-000089,2,Piping,Enough right garden law opportunity discover history,Completed,7.26,,GCP-BigQuery
WOT-0000238,WO-000089,3,Electrical,Admit mission training range,Completed,19.67,,GCP-BigQuery
WOT-0000239,WO-000090,1,Piping,Painting concern top outside,Completed,25.69,23.99,GCP-BigQuery
WOT-0000240,WO-000090,2,Piping,Me brother lot candidate owner still to,Completed,7.08,5.55,GCP-BigQuery
WOT-0000241,WO-000090,3,Structural,Miss have analysis morning director sort,Completed,22.1,20.29,GCP-BigQuery
WOT-0000242,WO-000091,1,Electrical,Go source traditional student office international,In Progress,24.59,,GCP-BigQuery
WOT-0000243,WO-000091,2,Piping,Local discussion teacher exist theory,Completed,31.53,,GCP-BigQuery
WOT-0000244,WO-000091,3,Structural,Election accept season according mission mind,In Progress,13.13,,GCP-BigQuery
WOT-0000245,WO-000092,1,Mechanical,Pressure reach firm gun choice prepare,Completed,2.35,,GCP-BigQuery
WOT-0000246,WO-000092,2,Electrical,End movie north partner yeah,In Progress,13.49,,GCP-BigQuery
WOT-0000247,WO-000093,1,Mechanical,Sense including six lot have never,Completed,33.14,44.86,GCP-BigQuery
WOT-0000248,WO-000093,2,Electrical,Write officer similar huge catch,Completed,35.34,52.8,GCP-BigQuery
WOT-0000249,WO-000094,1,Structural,Security land record class,Completed,11.42,10.27,GCP-BigQuery
WOT-0000250,WO-000095,1,Electrical,Meet skill song pass range,Completed,12.17,10.85,GCP-BigQuery
WOT-0000251,WO-000095,2,I&C,Claim who accept,Completed,16.96,20.77,GCP-BigQuery
WOT-0000252,WO-000096,1,Structural,Statement likely outside because,In Progress,28.32,,GCP-BigQuery
WOT-0000253,WO-000096,2,I&C,Develop bag also his worker,In Progress,7.61,,GCP-BigQuery
WOT-0000254,WO-000096,3,Structural,Prevent expert white arm similar compare manager action,In Progress,3.42,,GCP-BigQuery
WOT-0000255,WO-000096,4,Electrical,Experience almost outside middle discuss college already,In Progress,4.17,,GCP-BigQuery
WOT-0000256,WO-000097,1,Piping,Pretty wish beautiful every human,Completed,16.0,15.64,GCP-BigQuery
WOT-0000257,WO-000097,2,Piping,If customer address region try near,Completed,19.32,20.6,GCP-BigQuery
WOT-0000258,WO-000097,3,I&C,Trip give white everybody paper create upon,Completed,3.73,4.53,GCP-BigQuery
WOT-0000259,WO-000098,1,Mechanical,Above company media next me future bring,Completed,22.75,28.08,GCP-BigQuery
WOT-0000260,WO-000098,2,Mechanical,What then spend offer reason whom none,Completed,13.74,9.77,GCP-BigQuery
WOT-0000261,WO-000099,1,Mechanical,Serious which learn leave only,Open,20.91,,GCP-BigQuery
WOT-0000262,WO-000100,1,Electrical,Loss election him,Open,28.39,,GCP-BigQuery
WOT-0000263,WO-000100,2,Mechanical,Quality discover firm western might,Open,31.37,,GCP-BigQuery
WOT-0000264,WO-000101,1,Piping,Red enjoy expert,Completed,32.37,32.64,GCP-BigQuery
WOT-0000265,WO-000101,2,Piping,Purpose start away use live government,Completed,3.78,5.65,GCP-BigQuery
WOT-0000266,WO-000102,1,Piping,Especially water raise travel material current save,Completed,38.82,50.65,GCP-BigQuery
