labor_id,wo_id,project_id,craft,worker_ref,hours,hourly_rate,labor_cost,post_date,origin_system
WOL-0000045,WO-000018,PRJ-009,Boilermaker,WKR-6546,2.63,118.29,311.1,2025-06-26,GCP-BigQuery
WOL-0000046,WO-000019,PRJ-010,Boilermaker,WKR-8692,10.02,87.59,877.65,2025-03-09,GCP-BigQuery
WOL-0000047,WO-000019,PRJ-010,Welder,WKR-3262,6.73,54.16,364.5,2025-03-09,GCP-BigQuery
WOL-0000048,WO-000019,PRJ-010,Laborer,WKR-3971,9.31,114.15,1062.74,2025-03-09,GCP-BigQuery
WOL-0000049,WO-000019,PRJ-010,Laborer,WKR-7001,9.92,85.57,848.85,2025-03-09,GCP-BigQuery
WOL-0000050,WO-000020,PRJ-006,Operator,WKR-9540,5.73,129.27,740.72,2026-04-06,GCP-BigQuery
WOL-0000051,WO-000021,PRJ-007,Operator,WKR-2666,4.04,64.92,262.28,2026-06-30,GCP-BigQuery
WOL-0000052,WO-000021,PRJ-007,Laborer,WKR-1410,3.42,98.82,337.96,2026-06-30,GCP-BigQuery
WOL-0000053,WO-000021,PRJ-007,Millwright,WKR-5256,5.02,106.93,536.79,2026-06-30,GCP-BigQuery
WOL-0000054,WO-000021,PRJ-007,Carpenter,WKR-7293,9.78,90.3,883.13,2026-06-30,GCP-BigQuery
WOL-0000055,WO-000022,PRJ-001,Carpenter,WKR-5469,11.08,98.3,1089.16,2025-10-05,GCP-BigQuery
WOL-0000056,WO-000022,PRJ-001,Operator,WKR-1573,8.83,68.63,606.0,2025-10-05,GCP-BigQuery
WOL-0000057,WO-000024,PRJ-006,Laborer,WKR-9650,8.07,62.34,503.08,2025-12-18,GCP-BigQuery
WOL-0000058,WO-000024,PRJ-006,Welder,WKR-1380,11.9,103.19,1227.96,2025-12-18,GCP-BigQuery
WOL-0000059,WO-000026,PRJ-008,Pipefitter,WKR-9034,2.72,132.3,359.86,2026-01-13,GCP-BigQuery
WOL-0000060,WO-000026,PRJ-008,Operator,WKR-7281,7.48,74.92,560.4,2026-01-13,GCP-BigQuery
WOL-0000061,WO-000026,PRJ-008,Ironworker,WKR-9792,10.33,116.39,1202.31,2026-01-13,GCP-BigQuery
WOL-0000062,WO-000028,PRJ-011,Instrument Tech,WKR-5600,5.21,91.32,475.78,2026-01-28,GCP-BigQuery
WOL-0000063,WO-000028,PRJ-011,Laborer,WKR-5608,4.65,68.13,316.8,2026-01-28,GCP-BigQuery
WOL-0000064,WO-000028,PRJ-011,Operator,WKR-5723,6.44,119.04,766.62,2026-01-28,GCP-BigQuery
WOL-0000065,WO-000029,PRJ-006,Laborer,WKR-7280,5.36,71.32,382.28,2025-07-08,GCP-BigQuery
WOL-0000066,WO-000032,PRJ-009,Operator,WKR-6476,6.56,89.59,587.71,2026-06-10,GCP-BigQuery
WOL-0000067,WO-000033,PRJ-001,Welder,WKR-8000,9.02,134.33,1211.66,2025-10-02,GCP-BigQuery
WOL-0000068,WO-000034,PRJ-005,Welder,WKR-8932,8.23,73.66,606.22,2026-05-13,GCP-BigQuery
WOL-0000069,WO-000034,PRJ-005,Pipefitter,WKR-8173,3.8,56.93,216.33,2026-05-13,GCP-BigQuery
WOL-0000070,WO-000035,PRJ-003,Pipefitter,WKR-7812,9.96,73.48,731.86,2026-02-14,GCP-BigQuery
WOL-0000071,WO-000036,PRJ-009,Carpenter,WKR-1009,7.74,90.23,698.38,2025-12-24,GCP-BigQuery
WOL-0000072,WO-000036,PRJ-009,Operator,WKR-7062,2.97,85.25,253.19,2025-12-24,GCP-BigQuery
WOL-0000073,WO-000038,PRJ-001,Laborer,WKR-8633,10.31,118.84,1225.24,2026-01-23,GCP-BigQuery
WOL-0000074,WO-000038,PRJ-001,Welder,WKR-8450,8.98,94.16,845.56,2026-01-23,GCP-BigQuery
WOL-0000075,WO-000039,PRJ-003,Laborer,WKR-7601,6.8,133.75,909.5,2026-03-17,GCP-BigQuery
WOL-0000076,WO-000039,PRJ-003,Laborer,WKR-7360,7.1,54.03,383.61,2026-03-17,GCP-BigQuery
WOL-0000077,WO-000039,PRJ-003,Welder,WKR-5498,9.76,57.67,562.86,2026-03-17,GCP-BigQuery
WOL-0000078,WO-000040,PRJ-002,Electrician,WKR-8623,8.05,124.42,1001.58,2025-05-08,GCP-BigQuery
WOL-0000079,WO-000040,PRJ-002,Welder,WKR-2280,9.64,83.47,804.65,2025-05-08,GCP-BigQuery
WOL-0000080,WO-000041,PRJ-003,Instrument Tech,WKR-6226,3.81,96.83,368.92,2025-05-01,GCP-BigQuery
WOL-0000081,WO-000041,PRJ-003,Carpenter,WKR-5065,7.5,104.16,781.2,2025-05-01,GCP-BigQuery
WOL-0000082,WO-000042,PRJ-003,Boilermaker,WKR-5477,10.3,85.84,884.15,2026-08-07,GCP-BigQuery
WOL-0000083,WO-000042,PRJ-003,Instrument Tech,WKR-3661,3.76,101.48,381.56,2026-08-07,GCP-BigQuery
WOL-0000084,WO-000042,PRJ-003,Pipefitter,WKR-1158,7.08,114.69,812.01,2026-08-07,GCP-BigQuery
WOL-0000085,WO-000043,PRJ-008,Ironworker,WKR-7394,3.73,72.31,269.72,2025-09-11,GCP-BigQuery
WOL-0000086,WO-000043,PRJ-008,Pipefitter,WKR-6963,3.69,133.84,493.87,2025-09-11,GCP-BigQuery
WOL-0000087,WO-000044,PRJ-006,Millwright,WKR-7992,9.2,101.23,931.32,2025-09-01,GCP-BigQuery
WOL-0000088,WO-000044,PRJ-006,Ironworker,WKR-1317,10.97,93.18,1022.18,2025-09-01,GCP-BigQuery
WOL-0000089,WO-000044,PRJ-006,Ironworker,WKR-3322,9.09,133.66,1214.97,2025-09-01,GCP-BigQuery
WOL-0000090,WO-000044,PRJ-006,Laborer,WKR-4513,6.63,79.43,526.62,2025-09-01,GCP-BigQuery
WOL-0000091,WO-000045,PRJ-003,Operator,WKR-9318,5.78,129.87,750.65,2026-01-21,GCP-BigQuery
WOL-0000092,WO-000049,PRJ-009,Laborer,WKR-7954,2.28,119.21,271.8,2026-07-01,GCP-BigQuery
WOL-0000093,WO-000049,PRJ-009,Millwright,WKR-8518,7.16,91.22,653.14,2026-07-01,GCP-BigQuery
WOL-0000094,WO-000049,PRJ-009,Pipefitter,WKR-3815,6.25,61.87,386.69,2026-07-01,GCP-BigQuery
WOL-0000095,WO-000049,PRJ-009,Ironworker,WKR-2609,4.65,107.25,498.71,2026-07-01,GCP-BigQuery
WOL-0000096,WO-000050,PRJ-004,Instrument Tech,WKR-7480,6.66,121.05,806.19,2026-01-13,GCP-BigQuery
WOL-0000097,WO-000050,PRJ-004,Boilermaker,WKR-6460,11.3,126.34,1427.64,2026-01-13,GCP-BigQuery
WOL-0000098,WO-000050,PRJ-004,Electrician,WKR-9241,8.86,66.67,590.7,2026-01-13,GCP-BigQuery
WOL-0000099,WO-000050,PRJ-004,Laborer,WKR-6111,8.36,73.59,615.21,2026-01-13,GCP-BigQuery
WOL-0000100,WO-000051,PRJ-004,Electrician,WKR-8164,6.3,117.66,741.26,2026-03-18,GCP-BigQuery
WOL-0000101,WO-000052,PRJ-007,Pipefitter,WKR-8818,5.02,84.79,425.65,2026-01-24,GCP-BigQuery
WOL-0000102,WO-000053,PRJ-008,Operator,WKR-8969,3.5,77.17,270.1,2026-04-06,GCP-BigQuery
WOL-0000103,WO-000053,PRJ-008,Welder,WKR-5362,6.77,112.74,763.25,2026-04-06,GCP-BigQuery
WOL-0000104,WO-000053,PRJ-008,Ironworker,WKR-3334,6.65,102.11,679.03,2026-04-06,GCP-BigQuery
WOL-0000105,WO-000054,PRJ-002,Welder,WKR-7435,11.89,123.6,1469.6,2026-05-15,GCP-BigQuery
WOL-0000106,WO-000054,PRJ-002,Operator,WKR-8522,3.37,50.63,170.62,2026-05-15,GCP-BigQuery
WOL-0000107,WO-000054,PRJ-002,Electrician,WKR-9643,11.38,119.02,1354.45,2026-05-15,GCP-BigQuery
WOL-0000108,WO-000054,PRJ-002,Ironworker,WKR-4329,11.69,60.75,710.17,2026-05-15,GCP-BigQuery
WOL-0000109,WO-000055,PRJ-001,Welder,WKR-9460,3.83,74.66,285.95,2025-03-05,GCP-BigQuery
WOL-0000110,WO-000055,PRJ-001,Laborer,WKR-3245,10.68,56.86,607.26,2025-03-05,GCP-BigQuery
WOL-0000111,WO-000055,PRJ-001,Boilermaker,WKR-5950,7.95,53.34,424.05,2025-03-05,GCP-BigQuery
WOL-0000112,WO-000056,PRJ-009,Ironworker,WKR-6030,4.91,73.5,360.88,2026-05-26,GCP-BigQuery
WOL-0000113,WO-000056,PRJ-009,Welder,WKR-4912,11.36,81.83,929.59,2026-05-26,GCP-BigQuery
WOL-0000114,WO-000056,PRJ-009,Ironworker,WKR-6953,5.02,109.13,547.83,2026-05-26,GCP-BigQuery
WOL-0000115,WO-000057,PRJ-009,Pipefitter,WKR-7539,2.72,112.75,306.68,2025-07-23,GCP-BigQuery
WOL-0000116,WO-000058,PRJ-005,Welder,WKR-9881,5.55,131.28,728.6,2025-07-11,GCP-BigQuery
WOL-0000117,WO-000059,PRJ-003,Operator,WKR-3538,3.83,85.41,327.12,2025-09-16,GCP-BigQuery
WOL-0000118,WO-000060,PRJ-007,Instrument Tech,WKR-9354,8.91,93.8,835.76,2025-04-10,GCP-BigQuery
WOL-0000119,WO-000061,PRJ-004,Boilermaker,WKR-1378,6.33,114.15,722.57,2026-08-14,GCP-BigQuery
WOL-0000120,WO-000061,PRJ-004,Instrument Tech,WKR-3966,5.13,107.55,551.73,2026-08-14,GCP-BigQuery
WOL-0000121,WO-000061,PRJ-004,Electrician,WKR-7402,2.79,78.02,217.68,2026-08-14,GCP-BigQuery
WOL-0000122,WO-000062,PRJ-011,Electrician,WKR-4779,9.25,115.46,1068.0,2026-02-25,GCP-BigQuery
WOL-0000123,WO-000062,PRJ-011,Instrument Tech,WKR-1098,4.44,118.06,524.19,2026-02-25,GCP-BigQuery
WOL-0000124,WO-000062,PRJ-011,Welder,WKR-4497,11.06,109.48,1210.85,2026-02-25,GCP-BigQuery
WOL-0000125,WO-000062,PRJ-011,Pipefitter,WKR-3115,9.99,92.06,919.68,2026-02-25,GCP-BigQuery
WOL-0000126,WO-000063,PRJ-002,Welder,WKR-7520,6.21,100.78,625.84,2026-04-30,GCP-BigQuery
WOL-0000127,WO-000063,PRJ-002,Welder,WKR-6676,10.96,71.75,786.38,2026-04-30,GCP-BigQuery
WOL-0000128,WO-000065,PRJ-006,Instrument Tech,WKR-5800,8.75,90.89,795.29,2025-09-09,GCP-BigQuery
WOL-0000129,WO-000066,PRJ-001,Millwright,WKR-2872,9.62,74.1,712.84,2025-04-05,GCP-BigQuery
WOL-0000130,WO-000066,PRJ-001,Welder,WKR-1299,7.46,71.28,531.75,2025-04-05,GCP-BigQuery
WOL-0000131,WO-000068,PRJ-003,Pipefitter,WKR-5905,8.95,132.66,1187.31,2026-04-12,GCP-BigQuery
WOL-0000132,WO-000071,PRJ-002,Ironworker,WKR-3352,3.47,119.17,413.52,2025-06-15,GCP-BigQuery
WOL-0000133,WO-000071,PRJ-002,Pipefitter,WKR-3093,11.96,97.0,1160.12,2025-06-15,GCP-BigQuery
WOL-0000134,WO-000072,PRJ-001,Boilermaker,WKR-9484,5.35,115.81,619.58,2025-12-05,GCP-BigQuery
WOL-0000135,WO-000072,PRJ-001,Electrician,WKR-7434,10.57,114.76,1213.01,2025-12-05,GCP-BigQuery
WOL-0000136,WO-000072,PRJ-001,Laborer,WKR-1656,10.95,67.99,744.49,2025-12-05,GCP-BigQuery
WOL-0000137,WO-000072,PRJ-001,Ironworker,WKR-7909,10.5,80.83,848.72,2025-12-05,GCP-BigQuery
WOL-0000138,WO-000073,PRJ-002,Operator,WKR-8829,4.92,69.05,339.73,2025-12-03,GCP-BigQuery
WOL-0000139,WO-000075,PRJ-002,Boilermaker,WKR-4193,8.84,131.7,1164.23,2025-07-13,GCP-BigQuery
WOL-0000140,WO-000076,PRJ-010,Carpenter,WKR-1936,9.61,49.98,480.31,2026-04-22,GCP-BigQuery
WOL-0000141,WO-000076,PRJ-010,Instrument Tech,WKR-4626,3.62,75.18,272.15,2026-04-22,GCP-BigQuery
WOL-0000142,WO-000077,PRJ-003,Boilermaker,WKR-7647,4.45,53.76,239.23,2025-03-09,GCP-BigQuery
WOL-0000143,WO-000077,PRJ-003,Instrument Tech,WKR-9504,2.24,118.42,265.26,2025-03-09,GCP-BigQuery
WOL-0000144,WO-000078,PRJ-008,Millwright,WKR-6912,9.1,99.85,908.63,2026-05-04,GCP-BigQuery
WOL-0000145,WO-000078,PRJ-008,Electrician,WKR-9677,8.52,129.06,1099.59,2026-05-04,GCP-BigQuery
WOL-0000146,WO-000078,PRJ-008,Operator,WKR-8224,6.27,101.69,637.6,2026-05-04,GCP-BigQuery
WOL-0000147,WO-000078,PRJ-008,Laborer,WKR-6875,2.01,93.85,188.64,2026-05-04,GCP-BigQuery
WOL-0000148,WO-000080,PRJ-009,Operator,WKR-6567,5.69,73.72,419.47,2026-02-16,GCP-BigQuery
WOL-0000149,WO-000081,PRJ-006,Welder,WKR-9062,7.58,127.98,970.09,2025-09-07,GCP-BigQuery
WOL-0000150,WO-000083,PRJ-002,Millwright,WKR-6509,4.58,116.63,534.17,2025-03-24,GCP-BigQuery
WOL-0000151,WO-000083,PRJ-002,Operator,WKR-9089,7.05,81.85,577.04,2025-03-24,GCP-BigQuery
WOL-0000152,WO-000083,PRJ-002,Electrician,WKR-9426,9.85,101.72,1001.94,2025-03-24,GCP-BigQuery
WOL-0000153,WO-000083,PRJ-002,Millwright,WKR-3393,11.19,105.39,1179.31,2025-03-24,GCP-BigQuery
WOL-0000154,WO-000084,PRJ-012,Boilermaker,WKR-9434,6.74,87.55,590.09,2025-06-03,GCP-BigQuery
WOL-0000155,WO-000084,PRJ-012,Instrument Tech,WKR-8369,11.6,131.59,1526.44,2025-06-03,GCP-BigQuery
WOL-0000156,WO-000084,PRJ-012,Pipefitter,WKR-4450,6.62,66.3,438.91,2025-06-03,GCP-BigQuery
WOL-0000157,WO-000084,PRJ-012,Ironworker,WKR-7809,11.38,79.63,906.19,2025-06-03,GCP-BigQuery
WOL-0000158,WO-000088,PRJ-003,Carpenter,WKR-6520,11.7,130.45,1526.26,2025-11-21,GCP-BigQuery
WOL-0000159,WO-000089,PRJ-010,Millwright,WKR-2963,6.92,133.92,926.73,2026-06-25,GCP-BigQuery
WOL-0000160,WO-000089,PRJ-010,Millwright,WKR-7202,3.88,131.8,511.38,2026-06-25,GCP-BigQuery
WOL-0000161,WO-000089,PRJ-010,Ironworker,WKR-5618,7.36,59.49,437.85,2026-06-25,GCP-BigQuery
WOL-0000162,WO-000090,PRJ-005,Carpenter,WKR-1181,8.03,83.2,668.1,2025-05-20,GCP-BigQuery
WOL-0000163,WO-000090,PRJ-005,Ironworker,WKR-9961,10.86,127.42,1383.78,2025-05-20,GCP-BigQuery
WOL-0000164,WO-000090,PRJ-005,Boilermaker,WKR-7363,8.08,72.29,584.1,2025-05-20,GCP-BigQuery
WOL-0000165,WO-000092,PRJ-007,Carpenter,WKR-6203,4.2,94.24,395.81,2026-07-26,GCP-BigQuery
WOL-0000166,WO-000092,PRJ-007,Millwright,WKR-2359,5.38,71.67,385.58,2026-07-26,GCP-BigQuery
WOL-0000167,WO-000093,PRJ-003,Electrician,WKR-3989,9.11,67.28,612.92,2025-06-11,GCP-BigQuery
WOL-0000168,WO-000093,PRJ-003,Electrician,WKR-4597,11.99,70.61,846.61,2025-06-11,GCP-BigQuery
WOL-0000169,WO-000093,PRJ-003,Laborer,WKR-6389,8.09,110.21,891.6,2025-06-11,GCP-BigQuery
WOL-0000170,WO-000094,PRJ-007,Pipefitter,WKR-8450,3.81,121.69,463.64,2025-09-22,GCP-BigQuery
WOL-0000171,WO-000094,PRJ-007,Pipefitter,WKR-5886,5.5,114.46,629.53,2025-09-22,GCP-BigQuery
WOL-0000172,WO-000094,PRJ-007,Ironworker,WKR-1368,11.09,117.85,1306.96,2025-09-22,GCP-BigQuery
WOL-0000173,WO-000095,PRJ-011,Laborer,WKR-4024,11.69,112.57,1315.94,2025-09-19,GCP-BigQuery
WOL-0000174,WO-000095,PRJ-011,Electrician,WKR-8028,10.07,104.33,1050.6,2025-09-19,GCP-BigQuery
WOL-0000175,WO-000095,PRJ-011,Millwright,WKR-6158,10.84,97.2,1053.65,2025-09-19,GCP-BigQuery
WOL-0000176,WO-000096,PRJ-001,Operator,WKR-9774,8.7,73.1,635.97,2025-04-23,GCP-BigQuery
WOL-0000177,WO-000096,PRJ-001,Carpenter,WKR-4631,7.71,92.96,716.72,2025-04-23,GCP-BigQuery
WOL-0000178,WO-000096,PRJ-001,Ironworker,WKR-4876,3.36,107.7,361.87,2025-04-23,GCP-BigQuery
WOL-0000179,WO-000096,PRJ-001,Laborer,WKR-7908,11.35,131.96,1497.75,2025-04-23,GCP-BigQuery
WOL-0000180,WO-000097,PRJ-006,Welder,WKR-9639,9.16,49.78,455.98,2025-11-22,GCP-BigQuery
WOL-0000181,WO-000097,PRJ-006,Laborer,WKR-3075,6.94,129.5,898.73,2025-11-22,GCP-BigQuery
WOL-0000182,WO-000097,PRJ-006,Millwright,WKR-8696,4.63,134.57,623.06,2025-11-22,GCP-BigQuery
WOL-0000183,WO-000098,PRJ-009,Millwright,WKR-5665,10.63,127.26,1352.77,2025-11-27,GCP-BigQuery
WOL-0000184,WO-000098,PRJ-009,Boilermaker,WKR-8628,6.56,96.1,630.42,2025-11-27,GCP-BigQuery
WOL-0000185,WO-000098,PRJ-009,Pipefitter,WKR-7646,11.65,76.56,891.92,2025-11-27,GCP-BigQuery
WOL-0000186,WO-000101,PRJ-008,Welder,WKR-7942,8.11,118.02,957.14,2026-05-18,GCP-BigQuery
WOL-0000187,WO-000102,PRJ-012,Operator,WKR-3280,6.49,80.17,520.3,2025-05-13,GCP-BigQuery
WOL-0000188,WO-000102,PRJ-012,Welder,WKR-8846,3.33,79.75,265.57,2025-05-13,GCP-BigQuery
WOL-0000189,WO-000102,PRJ-012,Carpenter,WKR-7651,6.19,75.6,467.96,2025-05-13,GCP-BigQuery
WOL-0000190,WO-000102,PRJ-012,Instrument Tech,WKR-9422,4.16,70.3,292.45,2025-05-13,GCP-BigQuery
WOL-0000191,WO-000104,PRJ-001,Pipefitter,WKR-2064,6.15,98.18,603.81,2025-11-18,GCP-BigQuery
WOL-0000192,WO-000104,PRJ-001,Welder,WKR-1463,4.81,67.3,323.71,2025-11-18,GCP-BigQuery
WOL-0000193,WO-000105,PRJ-005,Welder,WKR-4760,10.99,85.55,940.19,2026-03-28,GCP-BigQuery
WOL-0000194,WO-000105,PRJ-005,Boilermaker,WKR-2055,5.87,131.88,774.14,2026-03-28,GCP-BigQuery
WOL-0000195,WO-000106,PRJ-011,Laborer,WKR-4821,5.27,131.22,691.53,2026-04-15,GCP-BigQuery
WOL-0000196,WO-000107,PRJ-009,Pipefitter,WKR-3050,2.83,93.24,263.87,2025-09-21,GCP-BigQuery
WOL-0000197,WO-000107,PRJ-009,Carpenter,WKR-7177,9.53,105.19,1002.46,2025-09-21,GCP-BigQuery
WOL-0000198,WO-000108,PRJ-004,Electrician,WKR-8942,9.09,75.09,682.57,2025-06-05,GCP-BigQuery
WOL-0000199,WO-000108,PRJ-004,Carpenter,WKR-5597,9.32,99.37,926.13,2025-06-05,GCP-BigQuery
WOL-0000200,WO-000108,PRJ-004,Laborer,WKR-8915,7.89,96.09,758.15,2025-06-05,GCP-BigQuery
WOL-0000201,WO-000109,PRJ-006,Boilermaker,WKR-1387,8.78,80.59,707.58,2025-12-14,GCP-BigQuery
WOL-0000202,WO-000110,PRJ-009,Laborer,WKR-5748,2.52,106.49,268.35,2026-06-03,GCP-BigQuery
WOL-0000203,WO-000110,PRJ-009,Electrician,WKR-5934,6.33,122.74,776.94,2026-06-03,GCP-BigQuery
WOL-0000204,WO-000110,PRJ-009,Pipefitter,WKR-9166,8.67,101.3,878.27,2026-06-03,GCP-BigQuery
WOL-0000205,WO-000110,PRJ-009,Laborer,WKR-3163,3.73,117.58,438.57,2026-06-03,GCP-BigQuery
WOL-0000206,WO-000111,PRJ-009,Pipefitter,WKR-4469,6.29,79.48,499.93,2026-04-03,GCP-BigQuery
WOL-0000207,WO-000111,PRJ-009,Operator,WKR-4825,7.2,57.29,412.49,2026-04-03,GCP-BigQuery
WOL-0000208,WO-000112,PRJ-012,Instrument Tech,WKR-9568,6.98,62.43,435.76,2026-05-14,GCP-BigQuery
WOL-0000209,WO-000112,PRJ-012,Millwright,WKR-6730,6.43,106.19,682.8,2026-05-14,GCP-BigQuery
WOL-0000210,WO-000115,PRJ-009,Laborer,WKR-1694,7.5,106.84,801.3,2026-01-23,GCP-BigQuery
WOL-0000211,WO-000115,PRJ-009,Electrician,WKR-4188,11.54,75.42,870.35,2026-01-23,GCP-BigQuery
WOL-0000212,WO-000115,PRJ-009,Carpenter,WKR-8109,4.23,55.37,234.22,2026-01-23,GCP-BigQuery
WOL-0000213,WO-000115,PRJ-009,Ironworker,WKR-2635,4.4,72.59,319.4,2026-01-23,GCP-BigQuery
WOL-0000214,WO-000116,PRJ-010,Carpenter,WKR-7243,9.81,128.9,1264.51,2026-07-07,GCP-BigQuery
WOL-0000215,WO-000117,PRJ-007,Pipefitter,WKR-2534,11.06,89.68,991.86,2025-12-12,GCP-BigQuery
WOL-0000216,WO-000117,PRJ-007,Millwright,WKR-7453,5.27,73.44,387.03,2025-12-12,GCP-BigQuery
WOL-0000217,WO-000117,PRJ-007,Boilermaker,WKR-7145,2.26,60.36,136.41,2025-12-12,GCP-BigQuery
WOL-0000218,WO-000117,PRJ-007,Welder,WKR-1982,3.23,52.2,168.61,2025-12-12,GCP-BigQuery
WOL-0000219,WO-000118,PRJ-002,Instrument Tech,WKR-4083,3.39,60.73,205.87,2025-04-12,GCP-BigQuery
WOL-0000220,WO-000118,PRJ-002,Welder,WKR-1121,9.51,65.43,622.24,2025-04-12,GCP-BigQuery
WOL-0000221,WO-000118,PRJ-002,Pipefitter,WKR-5767,11.06,124.24,1374.09,2025-04-12,GCP-BigQuery
